name,ui,normalized_name,semanticTypes,definition,term,source
long,C0205166,,Qualitative Concept,Of relatively great or greater than average spatial extension or temporal duration.,Long,NCI
standing,,,,,,
5 mm,C3840882,,Finding,,5 mm,
benign,C0205183,,Qualitative Concept,"For neoplasms, a non-infiltrating and non-metastasizing neoplastic process that is characterized by the absence of morphologic features associated with malignancy (e.g., severe atypia, nuclear pleomorphism, tumor cell necrosis, and abnormal mitoses). For other conditions, a process that is mild in nature and not dangerous to health.",Benign,NCI
Aspiration,,,,,,
stool,,,,,,
loop,C0445022,,Spatial Concept,,Loop,
colon,,,,,,
splenic,,,,,,
flexure,C1880791,,Anatomical Structure,An angular or rounded shape made by folding.,Flexure,NCI
Near - complete,C4489118,,Finding,,Near complete,
Interposition,,,,,,
Slightly,,,,,,
air - filled,,,,,,
vague,C0205408,,Qualitative Concept,A term that refers to something not explicit or clear in meaning.,Vague,NCI
mid - to - upper,,,,,,
on the frontal view only,,,,,,
more conspicuous compared with the prior exam,,,,,,
artifact,,,,,,
Vague,C0205408,,Qualitative Concept,A term that refers to something not explicit or clear in meaning.,Vague,NCI
Port - A - Cath system,,,,,,
MediPort,,,,,,
durable,,,,,,
exaggerating,,,,,,
access,C0444454,,Spatial Concept,"The right to obtain or make use of or take advantage of something (as services or membership); the right to enter. Also, an act or means of approaching.",Access,NCI
gaseous,,,,,,
placements,C1524072,,Qualitative Concept,"Position or arrangement, as of the teeth; the state of being placed or arranged, as the assignment of a person to a appropriate clinical study.",Placement,NCI
off the field of view,,,,,,
Tip,C3282898,,Spatial Concept,The pointed end of a linear structure.,Tip,NCI
7 cm above,,,,,,
Other lines,,,,,,
carinal,,,,,,
lordotic,,,,,,
Significantly,,,,,,
acceleration,C0000894,,Phenomenon or Process,"1) Um aumento na taxa de velocidade. 2) Variação da velocidade em função do tempo. Utiliza-se na engenharia sísmica para definir o movimento vibratório do solo ou das estruturas; expressa-se em fração de gravidade (g) (Material II - IDNDR, 1992)",Acceleration,MSHPOR
concurrent,C0205420,,Temporal Concept,<p>A relationship in which the source act's effective time is the same as the target act's effective time.</p><i>UsageNote:</i>This code is reflexive. Therefore its inverse code is itself.,Concurrent,HL7V3.0
cancer,,,,,,
areation,,,,,,
dissemination,,,,,,
adenocarcinoma,C0001418,,Neoplastic Process,"Zhoubný nádor ze žlázového epitelu. Může mít v různé míře zachovanou strukturu žlázy a její produkci (např. hlenu). Bývá v tlustém střevě, žaludku, slinivce břišní, plicích aj. (cit. Velký lékařský slovník online, 2016 http://lekarske.slovniky.cz)",Adenocarcinoma,MSHCZE
cannot be evaluated,,,,,,
disseminated,C0205221,,Spatial Concept,To scatter widely; spread.,Disseminated,NCI
similar to prior study,,,,,,
Nearly,C3828842,,Qualitative Concept,Not quite or just short of.,Nearly,NCI
complete,C0205197,,Qualitative Concept,To possess every necessary or normal part or component or step; having come or been brought to a conclusion.,Complete,NCI
increasingly,,,,,,
Similar,,,,,,
pneumothoax,,,,,,
Lordotic,,,,,,
pseudoarticulation,,,,,,
Venous,C0348013,,Spatial Concept,"Of, or pertaining to, or contained in, or performing the function of the veins.",Venous,NCI
Cervical,C0205064,,Spatial Concept,"Relating to a neck, or cervix, in any sense.",Cervical,NCI
extremity,,,,,,
transvenous,,,,,,
Orphaned,,,,,,
atrial,,,,,,
irregular,C0205271,,Qualitative Concept,Lacking perfect symmetry or evenness.,Irregular,NCI
interspaces,,,,,,
dual - lead,,,,,,
hyperdense,,,,,,
breast,C0006141,,"Body Part, Organ, or Organ Component","Region of pectoral part of chest, each instance of which is the modified, glandular structure on some anterior chest and which has as its parts some nipple, areola, breast proper.",Breast,FMA
One,C0205447,,Quantitative Concept,"The smallest natural number and quantity it denotes: a single entity, unit, or object.",One,NCI
one,C0205447,,Quantitative Concept,"The smallest natural number and quantity it denotes: a single entity, unit, or object.",One,NCI
detached,C0687118,,Functional Concept,Physically separated or not connected.,Detached,NCI
