name,ui,normalized_name,semanticTypes,definition
unchanged,C1548447,UNCHANGED * - Problem/goal action code,Intellectual Product,"None, None)"
bronchovascular,C2326513,Bronchovascular bundle,Body Location or Region,"None, None)"
pulmonary,C0024109,Lung,"Body Part, Organ, or Organ Component","Lobular organ the parenchyma of which consists of air-filled alveoli which communicate with the tracheobronchial tree. Examples: There are only two instances, right lung and left lung."
patchy,C0205413,Patchy (qualifier value),Qualitative Concept,"Irregular or uneven in quality, texture, or distribution."
bibasilar,C2315107,Bibasilar Finding,Diagnostic Procedure,"None, None)"
opacities,C1265876,Abnormally opaque structure (morphologic abnormality),Pathologic Function,"None, None)"
abnormalities,C0000768,Congenital Abnormality,Congenital Abnormality,"Any abnormality, anatomical or biochemical, evident at birth or during the neonatal period."
Patchy,C0205413,Patchy (qualifier value),Qualitative Concept,"Irregular or uneven in quality, texture, or distribution."
parenchymal,C4277702,Parenchymal Tissue,Tissue,"Tkáň, která tvoří základní nebo funkční část nějakého tělního orgánu (např. plicní parenchym, jaterní parenchym nebo parenchym ledvin)."
opacity,C1265876,Abnormally opaque structure (morphologic abnormality),Pathologic Function,"None, None)"
radiograph,C1306645,Plain x-ray,Diagnostic Procedure,An image produced on a radiosensitive surface by x-ray radiation that has penetrated and passed through a structure.
scoliosis,C0036439,"Scoliosis, unspecified",Disease or Syndrome,"Vychýlení páteře do strany. S. může být vrozená nebo způsobená různými onemocněními páteře, zádových svalů nebo nervů. S. může mít charakter nestrukturální (např. při lumboischialgických bolestech, nestejné délce dolních končetin, onemocnění hrudní dutiny) nebo strukturální (klínovitá hemivertebra, torze obratle aj.). Podle příčiny se rovněž rozlišuje s. osteopatická, myopatická, neuropatická. Značná část strukturálních s. je idiopatická. V léčbě je důležité cílené cvičení, vhodné je např. plavání, korzety, v některých případech je léčba operační. Srov. kyfoskolióza. (cit. Velký lékařský slovník online, 2013 http://lekarske.slovniky.cz/ )"
asymmetry,C0332514,Asymmetry (qualifier value),Qualitative Concept,A finding of a lack of symmetry between two or more bilaterally aligned structures.
ribcage,C0222762,Rib Cage,"Body Part, Organ, or Organ Component","The thoracic cage is comprised of twelve pairs of ribs and associated costal cartilages, as well as the sternum. Note that the thoracic vertebrae are not part of the thoracic cage, but they are part of the skeleton of the thoracic segment of the trunk."
Mildly,C2945599,Mild (qualifier value),Qualitative Concept,"Having a relatively minor degree of severity. For quantitative traits, a deviation of between two and three standard deviations from the appropriate population mean. [https://orcid.org/0000-0002-0736-9199]"
underinflated,C1320706,Airway device cuff underinflated,Finding,"None, None)"
Osseous,C0262950,Skeletal bone,"Body Part, Organ, or Organ Component","Organ with cavitated organ parts, each instance of which has as its direct parts some maximal complement of compact (cortical) and cancellous bone, and some maximal complement of bone marrow cavities; together with instances of other bones, cartilages and joints, it constitutes some skeletal system. Examples: femur, sternum, maxilla, vertebra, talus."
They,C4740697,they/them/their/theirs/themselves,Intellectual Product,"None, None)"
similar,C2348205,Similarity,Qualitative Concept,The quality of being alike; having characteristics in common.
rib,C0035561,Bone structure of rib,"Body Part, Organ, or Organ Component","A set of twelve curved bones which connect to the vertebral column posteriorly, and terminate anteriorly as costal cartilage. Together, they form a protective cage around the internal thoracic organs."
aspiration,C0349707,Aspiration - action,Therapeutic or Preventive Procedure,Extracción que utiliza presión negativa
cannot be assessed,C1707258,Cannot Be Assessed,Finding,Aspects of the context prevent the evaluation needed to determine a value.
findings,C2607943,findings aspects,Functional Concept,"None, None)"
increasing,C0442808,Increasing (qualifier value),Functional Concept,"None, None)"
layering,C0934502,anatomical layer,"Body Part, Organ, or Organ Component",A relatively thin sheetlike expanse or region lying over or under another.
loculation,C0205277,Loculated,Qualitative Concept,"None, None)"
border,C2828371,Border (boundary),Spatial Concept,A boundary line or the area immediately inside the boundary.
right - sided,C0444532,Right sided,Spatial Concept,Pertaining to the physical area of an object that is located to the right of its center.
subjacent,C0542339,Inferior,Spatial Concept,In anatomy indicating lower than a given reference point.
aerated,C2215609,aeration,Therapeutic or Preventive Procedure,"None, None)"
TIPS,C0339897,Transjugular intrahepatic portosystemic shunt (procedure),Therapeutic or Preventive Procedure,"Se realiza percutáneamente a través de la vena yugular e implica la creación de una derivación intrahepática entre la vena hepática y la vena porta. El canal se mantiene mediante una sonda metálica. El procedimiento puede ser realizado en pacientes que han fracasado con la escleroterapia y es una opción adicional a las técnicas quirúrgicas de derivaciones portocava, mesocava y esplenorrenal. La operación demora entre una y tres horas."
round,C0332490,Round shape,Spatial Concept,The shape of a circle.
relevant,C2347946,Relevance,Qualitative Concept,The relation of something to the matter at hand.
Unchanged,C0442739,No status change,Finding,"<p>**Description:**There was (or is to be) no change to the item. This is primarily used when this element has not changed, but other attributes in the instance have changed.</p>"
limits,C0442816,Normal limits,Finding,"None, None)"
Bibasilar,C0232118,Bibasilar,Finding,"None, None)"
costophrenic,C0230151,Costophrenic angle,Body Location or Region,The angled junction where the diaphragm meets the chest wall.
monitoring,C1283169,Monitoring - action,Activity,"None, None)"
mild,C2945599,Mild (qualifier value),Qualitative Concept,"Having a relatively minor degree of severity. For quantitative traits, a deviation of between two and three standard deviations from the appropriate population mean. [https://orcid.org/0000-0002-0736-9199]"
post - operative,C0241311,post operative (finding),Finding,"<p>After any <a href=""https://medlineplus.gov/surgery.html"">operation</a>, you\'ll have some side effects. There is usually some pain with surgery. There may also be swelling and soreness around the area that the surgeon cut. Your surgeon can tell you which side effects to expect.</p> <p>There can also be complications. These are unplanned events linked to the operation. Some complications are infection, too much bleeding, reaction to <a href=""https://medlineplus.gov/anesthesia.html"">anesthesia</a>, or accidental injury. Some people have a greater risk of complications because of other medical conditions.</p> <p>Your surgeon can tell you how you might feel and what you will be able to do - or not do - the first few days, weeks, or months after surgery. Some other questions to ask are:</p><ul> <li>How long you will be in the hospital</li> <li>What kind of supplies, equipment, and help you might need when you go home</li> <li>When you can go back to work</li> <li>When it is ok to start exercising again</li> <li>Are they any other restrictions in your activities</li> </ul> <p>Following your surgeon\'s advice can help you recover as soon as possible.</p> <p class="""">Agency for Healthcare Research and Quality</p>"
sternal,C0038293,Sternum,"Body Part, Organ, or Organ Component","Flat bone, each instance of which is some flat bone forming the middle of the anterior part of some rib cage."
Mild,C2945599,Mild (qualifier value),Qualitative Concept,"Having a relatively minor degree of severity. For quantitative traits, a deviation of between two and three standard deviations from the appropriate population mean. [https://orcid.org/0000-0002-0736-9199]"
artery,C0003842,Arteries,"Body Part, Organ, or Organ Component",The vessels carrying blood away from the heart.
enlargement,C2711450,Enlargement (morphologic abnormality),Anatomical Abnormality,"None, None)"
subclavian,C0038530,Structure of subclavian artery,"Body Part, Organ, or Organ Component",An artery located below the clavicle that supplies blood to the head and the arms. The right subclavian artery originates from the brachiocephalic artery and the left subclavian artery originates from the aortic arch.
PICC,C0179740,Peripherally inserted central catheter (physical object),Medical Device,"Central venous infusion catheters designed for insertion in the peripheral vasculature (typically in the basilic or cephalic veins) and that are long enough to advance and locate their distal tip in a central vein, usually the superior or inferior vena cava. The length of these catheters is typically 22 to 60 cm (9 to 24 inches), and they are usually made of silicone elastomers (silastic) or polyurethane. They may be inserted using a variety of techniques (e.g., using a breakaway needle introducer, though over-the-needle catheters are provided with guide wires using the Seldinger technique); most of these catheters are provided with guide wires to assist their insertion."
pressure,C0033095,Pressure - physical agent,Phenomenon or Process,Typ síly působící jednotně ve všech směrech. Fyzikální veličinou je velikost síly působící na jednotku plochy. Jednotkou tlaku je Pascal (Pa).
hemidiaphragm,C1269845,Structure of hemidiaphragm,"Body Part, Organ, or Organ Component","None, None)"
Cardiac,C0018787,Heart,"Body Part, Organ, or Organ Component","Det hule, muskulære organet som opprettholder blodsirkulasjonen."
hypertension,C0020538,Hypertensive disease,Disease or Syndrome,"Onemocnění charakterizované zvýšeným tepenným tlakem ve velkém krevním oběhu (nad 140/90 mmHg). Jedno z nejčastějších onemocnění, jehož příčina většinou není známa (tzv. esenciální h., u níž existuje řada teorií vysvětlujících její vznik). V malém počtu případů je vysoký krevní tlak způsoben jinou chorobou (tzv. sekundární h.), zejm. onemocněním ledvin (např. glomerulonefritida, renální insuficience) či nadledvin (Connův syndrom, feochromocytom), popř. koarktací aorty aj. Levá srdeční komora musí u h. čerpat krev proti vysokému tlaku, což vede k jejímu zatěžování a hypertrofii a postupnému poškození. Vysoký krevní tlak se nemusí zejm. zpočátku projevovat žádnými nápadnými příznaky, ale později se mohou dostavit závažné komplikace (srdeční selhání, urychlení aterosklerózy, ICHS, cévní mozkové příhody, postižení ledvin). (cit. Velký lékařský slovník online, 2018 http://lekarske.slovniky.cz)"
atrium,C0018792,Heart Atrium,"Body Part, Organ, or Organ Component","The chambers of the heart, to which the BLOOD returns from the circulation."
valve,C1186983,Anatomical valve,"Body Part, Organ, or Organ Component","None, None)"
origin,C0439659,Beginning,Temporal Concept,"Have a beginning, in a temporal, spatial, or evaluative sense; the point in space or time where something begins."
infectious,C0009450,Communicable Diseases,Disease or Syndrome,"A disorder resulting from the presence and activity of a microbial, viral, fungal, or parasitic agent. It can be transmitted by direct or indirect contact."
engorgement,C0020452,Hyperemia,Disease or Syndrome,"The presence of an increased amount of blood in a body part or an organ leading to congestion or engorgement of blood vessels. Hyperemia can be due to increase of blood flow into the area (active or arterial), or due to obstruction of outflow of blood from the area (passive or venous)."
layer,C0934502,anatomical layer,"Body Part, Organ, or Organ Component",A relatively thin sheetlike expanse or region lying over or under another.
pericardial,C0442031,Pericardial body location,Body Location or Region,Located around the heart or relating to or affecting the pericardium.
contour,C0876954,Contour form,Spatial Concept,The outline of a part; the surface configuration.
Multiple,C0439064,Numerous,Quantitative Concept,An indefinite large quantity that is considered to be greater than several.
multiple,C0439064,Numerous,Quantitative Concept,An indefinite large quantity that is considered to be greater than several.
deformities,C1527361,deformities qualifier,Qualitative Concept,"None, None)"
thoracic,C0817096,Chest,Body Location or Region,"Subdivision of the trunk, which is demarcated from the neck by the plane of the superior thoracic aperture and from the abdomen internally by the inferior surface of the diaphragm and externally by the costal margin; together with the abdomen, pelvis and perineum, it constitutes the trunk. Examples: There is only one thorax."
ribs,C0035561,Bone structure of rib,"Body Part, Organ, or Organ Component","A set of twelve curved bones which connect to the vertebral column posteriorly, and terminate anteriorly as costal cartilage. Together, they form a protective cage around the internal thoracic organs."
Slight,C2937276,Slight (qualifier value),Qualitative Concept,"Small or little in size, quantity, or degree."
posterior,C0205095,Dorsal,Spatial Concept,Pertaining to the back or upper surface of the body; opposite of ventral.
calcified,C0175895,Calcified (qualifier value),Qualitative Concept,having calcium accumulation in the body
Severe,C0205082,Severe (severity modifier),Finding,"Head injury, Bone marrow transplantation, Intensive care patients (APACHE>10)."
standard,C1442989,Standard (qualifier),Qualitative Concept,Regularly and widely used.
below,C0542339,Inferior,Spatial Concept,In anatomy indicating lower than a given reference point.
diaphragm,C0011980,Respiratory Diaphragm,"Body Part, Organ, or Organ Component",The musculofibrous partition that separates the THORACIC CAVITY from the ABDOMINAL CAVITY. Contraction of the diaphragm increases the volume of the thoracic cavity aiding INHALATION.
margin,C0205284,Marginal,Spatial Concept,A boundary line or the area immediately inside the boundary.
thickening,C0205400,Thickened,Finding,An increase in the thickness of a structure.
scarring,C2004491,Cicatrix,Pathologic Function,Tejido fibroso que sustituye el tejido normal durante el proceso de CICATRIZACIÓN de heridas.
top,C1704458,Top (position),Spatial Concept,"The uppermost part, side, or surface of something."
surgery,C0543467,Operative Surgical Procedures,Therapeutic or Preventive Procedure,"Operations carried out for the correction of deformities and defects, repair of injuries, and diagnosis and cure of certain diseases. (Taber, 18th ed.)."
slight,C2937276,Slight (qualifier value),Qualitative Concept,"Small or little in size, quantity, or degree."
hyperinflated,C1167782,Lung hyperinflation,Disease or Syndrome,"Abnormal permanent enlargement of the lung air spaces distal to terminal bronchiole not resulted from wall destruction, e.g. due to loss of opposite lung."
Sternotomy,C0185792,Sternotomy (procedure),Therapeutic or Preventive Procedure,Making an incision in the STERNUM.
sternotomy,C0185792,Sternotomy (procedure),Therapeutic or Preventive Procedure,Making an incision in the STERNUM.
CABG,C0010055,Coronary Artery Bypass Surgery,Therapeutic or Preventive Procedure,"surgical procedure creating a bridge between the ascending aorta and one or more of the three major coronary arteries, distal to an obstructive lesion, using autologous tissue transplanted from the saphenous vein."
obstructive,C0549186,Obstructed,Functional Concept,"None, None)"
Degenerative,C0011164,Abnormal degeneration,Pathologic Function,"None, None)"
changes,C0392747,Changing,Functional Concept,The act of alteration or modification; changed or altered in form or character.
along,C0205154,Along edge (qualifier value),Spatial Concept,"None, None)"
spine,C0037949,Vertebral column,"Body Part, Organ, or Organ Component","Páteř tvoří nosnou oporu a pohyblivý pilíř celého těla. Je součástí osového skeletu. Je složena z částí - segmentů (krčního C1-C7, hrudního Th1-Th12, bederního L1-L5, křížového S1-S5 a kostrčního Co1-Co4(Co5). Páteř tvoří jednotlivé kosti, obratle (vertebrae), které jsou navzájem spojeny pevnými, avšak pohyblivými spoji. (upraveno podle Wikiskripta 2018 http://www.wikiskripta.eu/)"
COPD,C0024117,Chronic Obstructive Airway Disease,Disease or Syndrome,"chronic, irreversible obstruction of air flow from the lungs."
knob,C1708612,Knob Device,Manufactured Object,"A handle, usually attached to a shaft allowing manual rotation of the shaft."
calcifications,C2242558,"Pathologic calcification, calcified structure",Finding,Depósito de calcio en tejidos que normalmente no están calcificados
degenerative,C0011164,Abnormal degeneration,Pathologic Function,"None, None)"
airway,C0458827,Airway structure,"Body Part, Organ, or Organ Component",The part of the respiratory system between the nose or mouth and the lungs.
aligned,C1706765,Alignment,Spatial Concept,The act of adjusting or aligning objects in relation to each other; the result of this activity.
infiltrate,C0332448,Infiltration,Pathologic Function,morphologic abnormality
otherwise,C1518425,Not Otherwise Specified,Qualitative Concept,Not characterized in any other way.
aspect,C1879746,Aspect (characteristic),Qualitative Concept,A characteristic to be considered; a distinct feature or element.
flattening,C0333074,Flattening deformity,Spatial Concept,"None, None)"
hemidiaphragms,C1269845,Structure of hemidiaphragm,"Body Part, Organ, or Organ Component","None, None)"
resolving,C1709864,Recovering or Resolving,Conceptual Entity,One of the possible results of an adverse event outcome that indicates that the event is improving.
hila,C2073515,x-ray of chest: appearance of hilum,Diagnostic Procedure,"None, None)"
Improving,C1272745,Improving (qualifier value),Qualitative Concept,"None, None)"
moderately,C0205081,Moderate (severity modifier),Qualitative Concept,<p>Indicates the condition may result in noticable adverse adverse consequences but is unlikely to be life-threatening or cause permanent injury.</p>
diameter,C1301886,Diameter (qualifier value),Quantitative Concept,The length of a straight line passing through the center of a circle or sphere and connecting two points on the circumference.
Ovoid,C0332492,Ovoid shape,Spatial Concept,"None, None)"
infiltrates,C0332448,Infiltration,Pathologic Function,morphologic abnormality
Continued,C0444791,Continued movement,Qualitative Concept,"None, None)"
midline,C0549183,Midline (qualifier value),Spatial Concept,"A medial line, especially the medial line or medial plane of the body (or some part of the body)."
fluid,C1704353,fluid - substance,Substance,"nonsolid state of matter in which the atoms or molecules are free to move past each other, as in a gas or liquid."
Monitoring,C1283169,Monitoring - action,Activity,"None, None)"
catheter,C0085590,catheter device,Medical Device,A flexible tube designed to transfer fluids into or out of the body.
Hyperinflated,C1167782,Lung hyperinflation,Disease or Syndrome,"Abnormal permanent enlargement of the lung air spaces distal to terminal bronchiole not resulted from wall destruction, e.g. due to loss of opposite lung."
over,C0205136,Over (spatial),Spatial Concept,Being above or beyond something.
superior vena cava,C0042459,Superior vena cava structure,"Body Part, Organ, or Organ Component",Trunk of systemic vein which is formed by the union of the right and left brachiocephalic veins and terminates in the right atrium.
jugular,C0022427,Structure of jugular vein,"Body Part, Organ, or Organ Component","Veins in the neck which drain the brain, face, and neck into the brachiocephalic or subclavian veins."
superior,C1282910,Upper,Spatial Concept,"In anatomy, indicating higher than a given reference point."
caliber,C1301886,Diameter (qualifier value),Quantitative Concept,The length of a straight line passing through the center of a circle or sphere and connecting two points on the circumference.
Port - A - Cath,C3495140,Port-A-Cath,Medical Device,"A generic term that describes any implantable venous access device that is inserted into a central vein, and connected to a port that can be palpated and accessed for administration of agents and fluid, or for blood sampling."
aortic,C0003483,Aorta,"Body Part, Organ, or Organ Component","Srdečnice. Největší tepna organismu, která vystupuje přímo z levé srdeční komory. Probíhá hrudníkem a břišní dutinou (před páteří) až do bederní oblasti, kde se dělí (bifurkace) na dvě kyčelní tepny (aa. ilicae). Vystupuje z ní v různých částech řada větví, které zásobují okysličenou krví všechny orgány těla. A. ascendens - vzestupná a., počáteční úsek a. přecházející v aortální oblouk (arcus aortae). Navazuje a. descendens, která má část hrudní (a. thoracica) a břišní (a. abdominalis). (cit. Velký lékařský slovník online, 2017 http://lekarske.slovniky.cz)"
knuckle,C0025525,Metacarpophalangeal joint structure,Body Space or Junction,the joints that connect the fingers to the hand.
demineralization,C0085511,Tooth Demineralization,Disease or Syndrome,"Ztráta minerálních látek z tvrdých tkání těla - kostí a zubů. D. zubu při zubním kazu. (cit. Velký lékařský slovník online, 2016 http://lekarske.slovniky.cz/ )"
hazy,C0848431,cloudy/hazy vision,Sign or Symptom,"None, None)"
lingular,C0225634,Structure of lingular bronchus,"Body Part, Organ, or Organ Component","None, None)"
faint,C0039070,Syncope,Sign or Symptom,Transient loss of consciousness.
severity,C0521117,Severity of illness,Qualitative Concept,"None, None)"
Discrete,C0443299,Separate,Qualitative Concept,Independent; not united or joint.
worsened,C4084902,Got Worse,Intellectual Product,A subjective response indicating that something got worse.
drain,C0180499,Drain device,Medical Device,"Devices designed to establish a channel for the exit of fluids (e.g., air, serum, blood, lymph, bile) or purulent material from a cavity, wound, or infected area. Drains usually consist of flexible, hollow devices (e.g., tubes) with one or more lumina. They are typically made of Silastic, polyvinyl chloride, or, less frequently, rubber; a drain may include a trocar in its lumen. Most drains are used either as components of open drainage systems (i.e., through capillary action and gravity) or in closed systems that usually apply low negative pressure through the drain lumen. Dedicated tubes, catheters, and cannulae are also used for drainage of anatomic sites such as biliary ducts (e.g., T tubes, catheters), the urethra, the stomach (i.e., nasogastric tubes), and the brain ventricle (e.g., hydrocephalus catheters, shunts)."
internal jugular,C0226550,Internal jugular vein structure,"Body Part, Organ, or Organ Component",A continuation of the sigmoid sinus of the dura mater; joins the subclavian vein to form the brachiocephalic vein.
postoperative,C0032790,Postoperative Period,Temporal Concept,Tiden etter en operasjon.
Midline,C0549183,Midline (qualifier value),Spatial Concept,"A medial line, especially the medial line or medial plane of the body (or some part of the body)."
drains,C0180499,Drain device,Medical Device,"Devices designed to establish a channel for the exit of fluids (e.g., air, serum, blood, lymph, bile) or purulent material from a cavity, wound, or infected area. Drains usually consist of flexible, hollow devices (e.g., tubes) with one or more lumina. They are typically made of Silastic, polyvinyl chloride, or, less frequently, rubber; a drain may include a trocar in its lumen. Most drains are used either as components of open drainage systems (i.e., through capillary action and gravity) or in closed systems that usually apply low negative pressure through the drain lumen. Dedicated tubes, catheters, and cannulae are also used for drainage of anatomic sites such as biliary ducts (e.g., T tubes, catheters), the urethra, the stomach (i.e., nasogastric tubes), and the brain ventricle (e.g., hydrocephalus catheters, shunts)."
Swan - Ganz,C0007438,Swan-Ganz Catheterization,Diagnostic Procedure,"Placement of a balloon-tipped catheter into the pulmonary artery through the antecubital, subclavian, and sometimes the femoral vein. It is used to measure pulmonary artery pressure and pulmonary artery wedge pressure which reflects left atrial pressure and left ventricular end-diastolic pressure. The catheter is threaded into the right atrium, the balloon is inflated and the catheter follows the blood flow through the tricuspid valve into the right ventricle and out into the pulmonary artery."
pulmonic,C5453853,Pulmonic flow,Clinical Attribute,"None, None)"
cardia,C0007144,Cardia of stomach,Body Location or Region,"Část žaludku při vyústění jícnu, umístěná blízko srdce. V této části žaludku nejsou parietální buňky vylučující kyselinu chlorovodíkovou. (upraveno podle: Velký lékařský slovník online, 2018 http://lekarske.slovniky.cz)"
blurring,C1847840,Visual blurring,Finding,"None, None)"
homogeneous,C1881065,Homogeneity,Qualitative Concept,The quality or state of being similar or comparable in kind or nature or of being uniform throughout in composition or structure.
worrisome,C0233481,Worried,Finding,Mental distress resulting from concern for something impending or anticipated.
Trace,C0442822,trace amount,Quantitative Concept,"None, None)"
Surgical,C0587668,Surgical service,Health Care Activity,<p>Provision of surgical treatment.</p>
pneumomediastinum,C0032283,"Pneumomediastinum, Diagnostic",Diagnostic Procedure,Deliberate introduction of air or gas into the mediastinum as an aid to examination and diagnosis.
surgical,C0587668,Surgical service,Health Care Activity,<p>Provision of surgical treatment.</p>
thyroid,C0040132,Thyroid Gland,"Body Part, Organ, or Organ Component","Lobular organ the parenchyma of which consists of ductless, glandular follicles filled with colloid. Examples: thyroid gland proper, accessory thyroid gland, lingual thyroid gland."
malignancy,C0006826,Malignant Neoplasms,Neoplastic Process,"A tumor composed of atypical neoplastic, often pleomorphic cells that invade other tissues. Malignant neoplasms often metastasize to distant anatomic sites and may recur after excision. The most common malignant neoplasms are carcinomas (adenocarcinomas or squamous cell carcinomas), Hodgkin and non-Hodgkin lymphomas, leukemias, melanomas, and sarcomas. Check for ""https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/C9305"" active clinical trials using this agent. (""http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C9305"" NCI Thesaurus)"
Thoracic,C0817096,Chest,Body Location or Region,"Subdivision of the trunk, which is demarcated from the neck by the plane of the superior thoracic aperture and from the abdomen internally by the inferior surface of the diaphragm and externally by the costal margin; together with the abdomen, pelvis and perineum, it constitutes the trunk. Examples: There is only one thorax."
RELEVANT,C2347946,Relevance,Qualitative Concept,The relation of something to the matter at hand.
CHANGE,C0392747,Changing,Functional Concept,The act of alteration or modification; changed or altered in form or character.
PARENCHYMAL,C4277702,Parenchymal Tissue,Tissue,"Tkáň, která tvoří základní nebo funkční část nějakého tělního orgánu (např. plicní parenchym, jaterní parenchym nebo parenchym ledvin)."
OPACITIES,C1265876,Abnormally opaque structure (morphologic abnormality),Pathologic Function,"None, None)"
PNEUMONIA,C0032285,Pneumonia,Disease or Syndrome,"Infekce plic, často doprovázená zánětem."
OTHER,C0205394,Other,Qualitative Concept,Different than the one(s) previously specified or mentioned.
FOCAL,C0205234,Focal,Spatial Concept,Limited to a specific area.
DIFFUSE,C0205219,Diffuse,Spatial Concept,Widely spread; not localized or confined.
LUNG,C0024109,Lung,"Body Part, Organ, or Organ Component","Lobular organ the parenchyma of which consists of air-filled alveoli which communicate with the tracheobronchial tree. Examples: There are only two instances, right lung and left lung."
DISEASE,C0012634,Disease,Disease or Syndrome,"Definovaný patologický proces s charakteristickými příznaky a symptomy. Nemoc může postihnout celé tělo nebo jeho část a její etiologie, patologie a prognóza mohou být známé nebo neznámé."
NORMAL,C0205307,Normal,Qualitative Concept,"In pathology, a term that is used to describe a tissue specimen that has a normal appearance."
SIZE,C0456389,size,Spatial Concept,Relative physical dimensions of objects or stimuli.
CARDIAC,C0018787,Heart,"Body Part, Organ, or Organ Component","Det hule, muskulære organet som opprettholder blodsirkulasjonen."
HILAR,C0205150,Hilar,Spatial Concept,Refers to the area associated with the hilum.
MEDIASTINAL,C1522718,Mediastinal,Spatial Concept,Related to the mediastinum.
STRUCTURES,C0678594,Structure,Spatial Concept,The components and their relationship and manner of arrangement in constituting a whole.
LOBE,C0796494,lobe,"Body Part, Organ, or Organ Component","A portion of an organ, such as the liver, lung, breast, or brain."
azygos,C0265794,Azygos lobe of lung,Congenital Abnormality,"A small lobe sometimes found on the upper part of the right lung, formed by an infolding of the pleura and separated from the rest of the upper lobe by a deep groove lodging the azygos vein."
Calcific,C0175895,Calcified (qualifier value),Qualitative Concept,having calcium accumulation in the body
densities,C0178587,density,Quantitative Concept,The amount of something per unit size.
crowd,C0010383,Crowding,Social Behavior,"Número excessivo de indivíduos, humanos ou animais, em relação ao espaço disponível."
Hemidiaphragm,C1269845,Structure of hemidiaphragm,"Body Part, Organ, or Organ Component","None, None)"
some,C0205392,Some (qualifier value),Quantitative Concept,"At least a small amount or number of, but not a large amount of, or often."
side holes,C2584728,Side hole epidural catheter,Medical Device,"None, None)"
axillary,C0004454,Axilla,Body Location or Region,Área do corpo humano abaixo da ARTICULAÇÃO DO OMBRO.
object,C0347997,Physical object,Physical Object,"Something perceptible by one or more of the senses, especially by vision or touch; a material thing."
beneath,C0542339,Inferior,Spatial Concept,In anatomy indicating lower than a given reference point.
mainstem,C3807610,Thickened mainstem bronchi,Finding,"None, None)"
bronchus,C0006255,Bronchi,"Body Part, Organ, or Organ Component","The larger air passages of the lungs arising from the terminal bifurcation of the TRACHEA. They include the largest two primary bronchi which branch out into secondary bronchi, and tertiary bronchi which extend into BRONCHIOLES and PULMONARY ALVEOLI."
related,C0445223,Related (finding),Finding,"None, None)"
less,C0439092,Less Than,Quantitative Concept,<p>Less than condition applied to comparisons.</p>
a change in patient position,C0456201,Positioning of patient,Classification,"None, None)"
Pacer,C0030163,Artificial cardiac pacemaker,Medical Device,En apparat som stimulerar sammandragning av hjärtmusklarna med hjälp av elektriska impulser. Kan vara tillfällig (extern) eller permanent inopererad (intern eller intern-extern).
