Entity,Label
lung,ANAT-DP
They,OBS-DP
more,OBS-DP
conspicuous,OBS-DP
recent exam from ___,OBS-DP
similar,OBS-DP
previous exams from ___,OBS-DP
effusion,OBS-DA
cardiomediastinal,ANAT-DP
silhouette,ANAT-DP
stable,OBS-DP
acute,OBS-DA
osseous,ANAT-DP
abnormalities,OBS-DA
Old,OBS-DP
left,ANAT-DP
rib,ANAT-DP
fractures,OBS-DP
Left,ANAT-DP
mid,ANAT-DP
lower,ANAT-DP
lung,ANAT-DP
opacity,OBS-DP
aspiration,OBS-U
infection,OBS-U
atelectasis,OBS-U
Heart,ANAT-DP
size,ANAT-DP
mediastinum,ANAT-DP
difficult to assess,OBS-DP
low,OBS-DP
lung,ANAT-DP
volumes,ANAT-DP
overall,OBS-DP
appearance,OBS-DP
unremarkable,OBS-DP
potentially,OBS-U
left,ANAT-DP
basal,ANAT-DP
pneumonia,OBS-U
atelectasis,OBS-U
obscuring,OBS-DP
upper,ANAT-DP
chest,ANAT-DP
cannot be assessed,OBS-DP
Overall,OBS-DP
findings,OBS-DP
left,ANAT-DP
lower,ANAT-DP
lobe,ANAT-DP
pneumonia,OBS-DP
New,OBS-DP
left,ANAT-DP
lower,ANAT-DP
lung,ANAT-DP
opacities,OBS-DP
aspiration,OBS-U
pneumonia,OBS-U
right,ANAT-DP
lung,ANAT-DP
unremarkable,OBS-DP
lung,ANAT-DP
volumes,ANAT-DP
low,OBS-DP
Mediastinal,ANAT-DP
cardiac,ANAT-DP
contours,ANAT-DP
mildly,OBS-DP
enlarged,OBS-DP
significant,OBS-DP
pleural,ANAT-DP
effusion,OBS-DA
pneumothorax,OBS-DA
New,OBS-DP
left,ANAT-DP
lower,ANAT-DP
lung,ANAT-DP
opacities,OBS-DP
pneumonia,OBS-U
aspiration,OBS-U
Evaluation is limited,OBS-DP
patient 's head,OBS-DP
obscuring,OBS-DP
lung,ANAT-DP
apices,ANAT-DP
visualized,OBS-DP
lungs,ANAT-DP
clear,OBS-DP
focal,OBS-DA
consolidation,OBS-DA
pleural,ANAT-DP
effusion,OBS-DA
pneumothorax,OBS-DA
heart,ANAT-DP
normal,OBS-DP
size,ANAT-DP
pulmonary,ANAT-DP
edema,OBS-DA
mediastinal,ANAT-DP
contours,ANAT-DP
normal,OBS-DP
acute,OBS-DA
cardiopulmonary,ANAT-DP
abnormality,OBS-DA
Lungs,ANAT-DP
low,OBS-DP
volume,ANAT-DP
grossly,OBS-DP
clear,OBS-DP
Heart,ANAT-DP
size,ANAT-DP
normal,OBS-DP
pleural,ANAT-DP
abnormality,OBS-DA
increasing,OBS-DP
pulmonary,ANAT-DP
edema,OBS-DP
substantial,OBS-DP
layering,OBS-DP
effusions,OBS-DP
bibasilar,ANAT-DP
compressive,OBS-DP
atelectasis,OBS-DP
Bilateral,ANAT-DP
pleural,ANAT-DP
effusions,OBS-DP
worse,OBS-DP
right,ANAT-DP
loculation,OBS-DP
new,OBS-DA
focal,OBS-DA
consolidation,OBS-DA
pneumothorax,OBS-DA
Cardiomediastinal,ANAT-DP
silhouette,ANAT-DP
unchanged,OBS-DP
device,OBS-DP
left,ANAT-DP
heart,ANAT-DP
border,ANAT-DP
right - sided,ANAT-DP
loculated,ANAT-DP
pleural,ANAT-DP
effusions,OBS-U
bilateral,ANAT-DP
pleural,ANAT-DP
effusions,OBS-DP
slightly,OBS-DP
increased,OBS-DP
left,ANAT-DP
stable,OBS-DP
right,ANAT-DP
subjacent,OBS-DP
opacities,OBS-DP
lower,ANAT-DP
lungs,ANAT-DP
atelectasis,OBS-U
pneumonia,OBS-U
upper,ANAT-DP
lungs,ANAT-DP
well,OBS-DP
aerated,OBS-DP
cardiomediastinal,ANAT-DP
silhouette,ANAT-DP
stable,OBS-DP
Bony,ANAT-DP
structures,ANAT-DP
intact,OBS-DP
TIPS,OBS-DP
right,ANAT-DP
upper,ANAT-DP
quadrant,ANAT-DP
Bilateral,ANAT-DP
pleural,ANAT-DP
effusions,OBS-DP
subjacent,OBS-DP
consolidations,OBS-DP
atelectasis,OBS-U
pneumonia,OBS-U
loculated,OBS-DP
effusion,OBS-DP
atelectasis,OBS-DP
areas,OBS-DP
round,OBS-DP
atelectasis,OBS-DP
slightly,OBS-DP
larger,OBS-DP
Small,OBS-DP
left,ANAT-DP
effusion,OBS-DP
atelectasis,OBS-DP
unchanged,OBS-DP
Cardiomediastinal,ANAT-DP
silhouette,ANAT-DP
unchanged,OBS-DP
pneumothorax,OBS-DA
displaced,OBS-DA
rib,ANAT-DP
fractures,OBS-DA
relevant,OBS-DA
change,OBS-DA
chest,ANAT-DP
bilateral,ANAT-DP
pleural,ANAT-DP
effusions,OBS-DP
bibasilar,ANAT-DP
atelectasis,OBS-DP
unchanged,OBS-DP
new,OBS-DA
opacity,OBS-DA
Cardiomediastinal,ANAT-DP
silhouette,ANAT-DP
unchanged,OBS-DP
Unchanged,OBS-DP
bilateral,ANAT-DP
pleural,ANAT-DP
effusions,OBS-DP
bibasilar,ANAT-DP
atelectasis,OBS-DP
Superimposed,OBS-U
infection,OBS-U
heart,ANAT-DP
size,ANAT-DP
within,OBS-DP
normal,OBS-DP
limits,OBS-DP
aorta,ANAT-DP
unfolded,OBS-DP
Pulmonary,ANAT-DP
vascularity,ANAT-DP
engorged,OBS-DA
small,OBS-DP
moderate,OBS-DP
size,OBS-DP
partially,OBS-DP
loculated,OBS-DP
right,ANAT-DP
pleural,ANAT-DP
effusion,OBS-DP
increased,OBS-DP
size,OBS-DP
Bibasilar,ANAT-DP
airspace,ANAT-DP
opacities,OBS-DP
atelectasis,OBS-U
infection,OBS-U
Small,OBS-DP
left,ANAT-DP
pleural,ANAT-DP
effusion,OBS-U
left,ANAT-DP
costophrenic,ANAT-DP
angle,ANAT-DP
obscured,OBS-DP
overlying,OBS-DP
wires,OBS-DP
pneumothorax,OBS-DA
acute,OBS-DA
osseous,ANAT-DP
abnormalities,OBS-DA
increase,OBS-DP
size,OBS-DP
small,OBS-DP
moderate,OBS-DP
size,OBS-DP
right,ANAT-DP
pleural,ANAT-DP
effusion,OBS-DP
component,OBS-DP
loculated,OBS-DP
laterally,ANAT-DP
small,OBS-U
left,ANAT-DP
pleural,ANAT-DP
effusion,OBS-U
left,ANAT-DP
costophrenic,ANAT-DP
angle,ANAT-DP
not well assessed,OBS-DP
Bibasilar,ANAT-DP
airspace,ANAT-DP
opacities,OBS-DP
atelectasis,OBS-U
infection,OBS-U
monitoring,OBS-DA
support,OBS-DA
devices,OBS-DA
Bilateral,ANAT-DP
pleural,ANAT-DP
effusions,OBS-DP
mild,OBS-DP
moderate,OBS-DP
pneumothorax,OBS-DA
Normal,OBS-DP
post - operative,OBS-DP
alignment,OBS-DP
sternal,ANAT-DP
wires,OBS-DP
Normal,OBS-DP
size,ANAT-DP
cardiac,ANAT-DP
silhouette,ANAT-DP
Mild,OBS-DP
retrocardiac,ANAT-DP
atelectasis,OBS-DP
pneumothorax,OBS-DA
Stable,OBS-DP
small,OBS-DP
moderate,OBS-DP
bilateral,ANAT-DP
pleural,ANAT-DP
effusions,OBS-DP
Stable,OBS-DP
mild,OBS-DP
cardiomegaly,OBS-DP
pulmonary,ANAT-DP
artery,ANAT-DP
enlargement,OBS-DP
Stable,OBS-DP
small,OBS-DP
moderate,OBS-DP
bilateral,ANAT-DP
pleural,ANAT-DP
effusions,OBS-DP
Stable,OBS-DP
mild,OBS-DP
cardiomegaly,OBS-DP
Lung,ANAT-DP
volumes,ANAT-DP
normal,OBS-DP
Small,OBS-DP
moderate,OBS-DP
bilateral,ANAT-DP
pleural,ANAT-DP
effusions,OBS-DP
unchanged,OBS-DP
Left,ANAT-DP
retrocardiac,ANAT-DP
opacity,OBS-DP
atelectasis,OBS-U
new,OBS-DA
pulmonary,ANAT-DP
opacity,OBS-DA
Mild,OBS-DP
cardiomegaly,OBS-DP
unchanged,OBS-DP
main,ANAT-DP
pulmonary,ANAT-DP
artery,ANAT-DP
enlarged,OBS-DP
pneumothorax,OBS-DA
Stable,OBS-DP
small,OBS-DP
moderate,OBS-DP
bilateral,ANAT-DP
pleural,ANAT-DP
effusions,OBS-DP
Stable,OBS-DP
mild,OBS-DP
cardiomegaly,OBS-DP
pulmonary,ANAT-DP
artery,ANAT-DP
enlargement,OBS-DP
tip,OBS-DP
right,ANAT-DP
subclavian,ANAT-DP
PICC,OBS-DP
line,OBS-DP
mid,ANAT-DP
SVC,ANAT-DP
enlargement,OBS-DP
cardiac,ANAT-DP
silhouette,ANAT-DP
elevated,OBS-DP
pulmonary,ANAT-DP
venous,ANAT-DP
pressure,OBS-DP
right,ANAT-DP
heart,ANAT-DP
border,ANAT-DP
sharply,OBS-DP
hemidiaphragm,ANAT-DP
substantial,OBS-DP
decrease,OBS-DP
pleural,ANAT-DP
effusion,OBS-DP
opacification,OBS-DP
left,ANAT-DP
base,ANAT-DP
small,OBS-DP
effusion,OBS-DP
an,OBS-DP
increase,OBS-DP
bilateral,ANAT-DP
pleural,ANAT-DP
effusions,OBS-DP
prominent,OBS-DP
left,ANAT-DP
underlying,OBS-DP
compressive,OBS-DP
atelectasis,OBS-DP
Cardiac,ANAT-DP
silhouette,ANAT-DP
unchanged,OBS-DP
vascular,ANAT-DP
congestion,OBS-DA
acute,OBS-DA
focal,OBS-DA
Bilateral,ANAT-DP
small,OBS-DP
pleural,ANAT-DP
effusions,OBS-DP
adjacent,ANAT-DP
atelectasis,OBS-DP
overall,OBS-DP
unchanged,OBS-DP
heart,ANAT-DP
top - normal,OBS-DP
size,ANAT-DP
unchanged,OBS-DP
pulmonary,ANAT-DP
artery,ANAT-DP
enlarged,OBS-DP
pulmonary,ANAT-DP
hypertension,OBS-DP
focal,OBS-DA
consolidation,OBS-DA
pneumonia,OBS-DA
pneumothorax,OBS-DA
Stable,OBS-DP
bilateral,ANAT-DP
small,OBS-DP
pleural,ANAT-DP
effusions,OBS-DP
atelectasis,OBS-DP
Enlarged,OBS-DP
pulmonary,ANAT-DP
artery,ANAT-DP
pulmonary,ANAT-DP
hypertension,OBS-DP
Heart,ANAT-DP
size,ANAT-DP
enlarged,OBS-DP
prominence,OBS-DP
main,ANAT-DP
pulmonary,ANAT-DP
artery,ANAT-DP
left,ANAT-DP
atrium,OBS-DP
pulmonary,ANAT-DP
hypertension,OBS-U
mitral,ANAT-DP
valve,ANAT-DP
origin,OBS-U
Bilateral,ANAT-DP
pleural,ANAT-DP
effusions,OBS-DP
small,OBS-DP
focal,OBS-DA
consolidation,OBS-DA
infectious,OBS-DA
process,OBS-DA
pneumothorax,OBS-DA
Moderate,OBS-DP
cardiomegaly,OBS-DP
bilateral,ANAT-DP
small,OBS-DP
pleural,ANAT-DP
effusions,OBS-DP
adjacent,OBS-DP
atelectasis,OBS-DP
engorgement,OBS-DP
pulmonary,ANAT-DP
vasculature,ANAT-DP
heart,ANAT-DP
failure,OBS-DP
Moderate,OBS-DP
bilateral,ANAT-DP
pleural,ANAT-DP
effusions,OBS-DP
layer,OBS-DP
dependently,OBS-DP
Cardiac,ANAT-DP
silhouette,ANAT-DP
peculiar,OBS-DP
shape,OBS-DP
larger,OBS-DP
right,ANAT-DP
cardiomegaly,OBS-U
pericardial,ANAT-DP
effusion,OBS-U
distention,OBS-DA
pulmonary,ANAT-DP
mediastinal,ANAT-DP
vasculature,ANAT-DP
Bibasilar,ANAT-DP
atelectasis,OBS-DP
relatively,OBS-DP
mild,OBS-DP
pulmonary,ANAT-DP
edema,OBS-DA
Aortic,ANAT-DP
contour,ANAT-DP
normal,OBS-DP
right,ANAT-DP
lung,ANAT-DP
base,ANAT-DP
pneumonia,OBS-DP
changed,OBS-DA
left,ANAT-DP
retrocardiac,ANAT-DP
opacity,OBS-DP
more,OBS-DP
clear,OBS-DP
left,ANAT-DP
hilus,ANAT-DP
not less distinct,OBS-DP
more,OBS-DP
interstitial,ANAT-DP
prominence,OBS-DP
mild,OBS-DP
volume,OBS-DP
overload,OBS-DP
Endotracheal,OBS-DP
tube,OBS-DP
appropriate,OBS-DP
position,OBS-DP
Nasogastric,OBS-DP
tube,OBS-DP
stomach,ANAT-DP
out of review,OBS-DP
Multiple,OBS-DP
right sided,ANAT-DP
rib,ANAT-DP
fracture,OBS-DP
substantial,OBS-DP
scoliosis,OBS-DP
New,OBS-DP
mild,OBS-DP
volume,OBS-DP
overload,OBS-DP
right,ANAT-DP
lower,ANAT-DP
lobe,ANAT-DP
pneumonia,OBS-DP
nasogastric,OBS-DA
tube,OBS-DA
lung,ANAT-DP
volumes,ANAT-DP
lower,OBS-DP
Unchanged,OBS-DP
atelectasis,OBS-DP
right,ANAT-DP
lung,ANAT-DP
bases,ANAT-DP
Unchanged,OBS-DP
multiple,OBS-DP
posttraumatic,OBS-DP
rib,ANAT-DP
deformities,OBS-DP
right,ANAT-DP
overt,OBS-DA
pulmonary,ANAT-DP
edema,OBS-DA
larger,OBS-DA
pleural,ANAT-DP
effusions,OBS-DA
Massive,OBS-DP
scoliosis,OBS-DP
asymmetry,OBS-DP
ribcage,ANAT-DP
pulmonary,ANAT-DP
vascular,ANAT-DP
congestion,OBS-DP
interstitial,ANAT-DP
edema,OBS-DP
nearly,OBS-DP
resolved,OBS-DP
Nonspecific,OBS-DP
bibasilar,ANAT-DP
opacities,OBS-DP
unchanged,OBS-DP
thoracic,ANAT-DP
scoliosis,OBS-DP
convex,OBS-DP
right,ANAT-DP
Multiple,OBS-DP
old,OBS-DP
rib,ANAT-DP
fractures,OBS-DP
deformities,OBS-DP
right,ANAT-DP
ribs,ANAT-DP
right,ANAT-DP
second,ANAT-DP
fifith,ANAT-DP
ribs,ANAT-DP
focal,OBS-DA
consolidation,OBS-DA
Slight,OBS-DP
focal,OBS-DP
opacity,OBS-DP
posterior,ANAT-DP
right,ANAT-DP
fourth,ANAT-DP
rib,ANAT-DP
old,OBS-DP
fracture,OBS-DP
large,OBS-DA
pleural,ANAT-DP
effusion,OBS-DA
pneumothorax,OBS-DA
aorta,ANAT-DP
calcified,OBS-DP
cardiac,ANAT-DP
silhouette,ANAT-DP
enlarged,OBS-DA
Stable,OBS-DP
right,ANAT-DP
basal,ANAT-DP
parenchymal,ANAT-DP
opacity,OBS-DP
larger,OBS-DA
pleural,ANAT-DP
effusions,OBS-DA
Stable,OBS-DP
retrocardiac,ANAT-DP
atelectasis,OBS-DP
Severe,OBS-DP
scoliosis,OBS-DP
Unchanged,OBS-DP
position,OBS-DP
right,ANAT-DP
PICC,OBS-DP
line,OBS-DP
endotracheal,OBS-DP
tube,OBS-DP
standard,OBS-DP
position,OBS-DP
nasogastric,OBS-DP
tube,OBS-DP
below,ANAT-DP
diaphragm,ANAT-DP
Cardiomediastinal,ANAT-DP
contours,ANAT-DP
stable,OBS-DP
Interval,OBS-DP
improved,OBS-DP
aeration,OBS-DP
right,ANAT-DP
lung,ANAT-DP
base,ANAT-DP
resolution,OBS-DP
right,ANAT-DP
lower,ANAT-DP
lobe,ANAT-DP
opacification,OBS-DP
left,ANAT-DP
retrocardiac,ANAT-DP
opacity,OBS-DP
pneumonia,OBS-U
Right,ANAT-DP
lower,ANAT-DP
lobe,ANAT-DP
pneumonia,OBS-DP
Lung,ANAT-DP
volumes,ANAT-DP
low,OBS-DP
Mild,OBS-DP
interstitial,ANAT-DP
pulmonary,ANAT-DP
edema,OBS-DP
new,OBS-DP
confluent,OBS-DP
opacity,OBS-DP
right,ANAT-DP
lower,ANAT-DP
lung,ANAT-DP
obscuring,OBS-DP
right,ANAT-DP
hemidiaphragm,ANAT-DP
margin,ANAT-DP
left,ANAT-DP
lung,ANAT-DP
clear,OBS-DP
small,OBS-U
layering,OBS-U
pleural,ANAT-DP
effusion,OBS-U
right,ANAT-DP
chronic,OBS-DP
pleural,ANAT-DP
thickening,OBS-DP
pneumothorax,OBS-DA
Severe,OBS-DP
S type,OBS-DP
scoliosis,OBS-DP
changed,OBS-DA
Cardiac,ANAT-DP
size,ANAT-DP
cannot be assessed,OBS-DP
stable,OBS-DP
New,OBS-DP
right,ANAT-DP
lower,ANAT-DP
lobe,ANAT-DP
opacity,OBS-DP
pneumonia,OBS-DP
atelectasis,OBS-DP
Mild,OBS-DP
interstitial,ANAT-DP
pulmonary,ANAT-DP
edema,OBS-DP
unchanged,OBS-DP
heart,ANAT-DP
left,ANAT-DP
ventricular,ANAT-DP
configuration,ANAT-DP
similar to prior,OBS-DP
Mediastinal,ANAT-DP
contours,ANAT-DP
tortuosity,OBS-DP
aorta,ANAT-DP
similar to prior,OBS-DP
Elevation,OBS-DP
left,ANAT-DP
hemidiaphragm,ANAT-DP
chronic,OBS-U
bilateral,ANAT-DP
basilar,ANAT-DP
linear,OBS-DP
opacities,OBS-DP
atelectasis,OBS-U
scarring,OBS-U
focal,OBS-DA
consolidation,OBS-DA
pneumothorax,OBS-DA
focal,OBS-DA
consolidation,OBS-DA
Stable,OBS-DP
left,ANAT-DP
hemidiaphragm,ANAT-DP
elevation,OBS-DP
Bibasilar,ANAT-DP
atelectasis,OBS-DP
scarring,OBS-DP
new,OBS-DP
streaky,OBS-DP
left,ANAT-DP
basal,ANAT-DP
opacities,OBS-DP
atelectasis,OBS-U
superimposed,OBS-U
pneumonia,OBS-U
aspiration,OBS-U
mild,OBS-DP
vascular,ANAT-DP
congestion,OBS-DP
pulmonary,ANAT-DP
edema,OBS-DA
Cardiac,ANAT-DP
contour,ANAT-DP
top,OBS-DP
normal,OBS-DP
pneumothorax,OBS-DA
Air,OBS-DP
overlying,OBS-DP
right,ANAT-DP
basal,ANAT-DP
lung,ANAT-DP
chest,ANAT-DP
wall,ANAT-DP
new,OBS-DP
surgery,OBS-U
infection,OBS-U
skin,ANAT-DP
Mild,OBS-DP
pulmonary,ANAT-DP
vascular,ANAT-DP
congestion,OBS-DP
pulmonary,ANAT-DP
edema,OBS-DP
slight,OBS-DP
interval,OBS-DP
increase,OBS-DP
small,OBS-DP
bilateral,ANAT-DP
pleural,ANAT-DP
effusions,OBS-DP
lungs,ANAT-DP
hyperinflated,OBS-DP
mild,OBS-DP
pulmonary,ANAT-DP
vascular,ANAT-DP
congestion,OBS-DP
Mild,OBS-DP
cardiomegaly,OBS-DP
unchanged,OBS-DP
Left,ANAT-DP
greater,OBS-DP
right,ANAT-DP
small,OBS-DP
bilateral,ANAT-DP
pleural,ANAT-DP
effusions,OBS-DP
increased,OBS-DP
Sternotomy,OBS-DP
wires,OBS-DP
extensive,OBS-DP
mediastinal,ANAT-DP
clips,OBS-DP
unchanged,OBS-DP
focal,OBS-DA
consolidation,OBS-DA
pneumothorax,OBS-DA
Mild,OBS-DP
pulmonary,ANAT-DP
vascular,ANAT-DP
congestion,OBS-DP
slight,OBS-DP
interval,OBS-DP
increase,OBS-DP
small,OBS-DP
bilateral,ANAT-DP
pleural,ANAT-DP
effusions,OBS-DP
status,OBS-DP
post,OBS-DP
median,OBS-DP
sternotomy,OBS-DP
CABG,OBS-DP
Lungs,ANAT-DP
hyperinflated,OBS-DP
chronic,OBS-DP
obstructive,OBS-DP
pulmonary,ANAT-DP
disease,OBS-DP
cardiac,ANAT-DP
mediastinal,ANAT-DP
silhouettes,ANAT-DP
stable,OBS-DP
Minimal,OBS-DP
basilar,ANAT-DP
atelectasis,OBS-DP
focal,OBS-DA
consolidation,OBS-DA
pleural,ANAT-DP
effusion,OBS-DA
pneumothorax,OBS-DA
Degenerative,OBS-DP
changes,OBS-DP
along,OBS-DP
spine,ANAT-DP
COPD,OBS-DP
minimal,OBS-DP
left,ANAT-DP
basilar,ANAT-DP
atelectasis,OBS-U
scarring,OBS-U
acute,OBS-DA
cardiopulmonary,ANAT-DP
process,OBS-DA
Lungs,ANAT-DP
relatively,OBS-DP
hyperinflated,OBS-DP
blunting,OBS-DP
right,ANAT-DP
costophrenic,ANAT-DP
angle,ANAT-DP
trace,OBS-DP
pleural,ANAT-DP
effusion,OBS-DP
new,OBS-DA
focal,OBS-DA
consolidation,OBS-DA
status,OBS-DP
post,OBS-DP
median,OBS-DP
sternotomy,OBS-DP
CABG,OBS-DP
Cardiac,ANAT-DP
mediastinal,ANAT-DP
silhouettes,ANAT-DP
stable,OBS-DP
pulmonary,ANAT-DP
edema,OBS-DA
slight,OBS-DP
blunting,OBS-DP
right,ANAT-DP
costophrenic,ANAT-DP
angle,ANAT-DP
trace,OBS-DP
pleural,ANAT-DP
effusion,OBS-DP
pulmonary,ANAT-DP
edema,OBS-DA
status,OBS-DP
post,OBS-DP
median,OBS-DP
sternotomy,OBS-DP
CABG,OBS-DP
Heart,ANAT-DP
size,ANAT-DP
borderline,OBS-DP
enlarged,OBS-DP
mediastinal,ANAT-DP
contours,ANAT-DP
unchanged,OBS-DP
Aortic,ANAT-DP
knob,ANAT-DP
calcifications,OBS-DP
Mild,OBS-DP
pulmonary,ANAT-DP
vascular,ANAT-DP
congestion,OBS-DP
Small,OBS-DP
bilateral,ANAT-DP
pleural,ANAT-DP
effusions,OBS-DP
new,OBS-DP
interval,OBS-DP
Patchy,OBS-DP
bibasilar,ANAT-DP
atelectasis,OBS-DP
lungs,ANAT-DP
hyperinflated,OBS-DP
COPD,OBS-DP
focal,OBS-DA
consolidation,OBS-DA
pneumothorax,OBS-DA
multilevel,OBS-DP
degenerative,OBS-DP
changes,OBS-DP
thoracic,ANAT-DP
spine,ANAT-DP
Mild,OBS-DP
pulmonary,ANAT-DP
vascular,ANAT-DP
congestion,OBS-DP
small,OBS-DP
bilateral,ANAT-DP
pleural,ANAT-DP
effusions,OBS-DP
