name,ui,normalized_name,semanticTypes,definition
osseous,C0262950,Skeletal bone,"Body Part, Organ, or Organ Component","Organ with cavitated organ parts, each instance of which has as its direct parts some maximal complement of compact (cortical) and cancellous bone, and some maximal complement of bone marrow cavities; together with instances of other bones, cartilages and joints, it constitutes some skeletal system. Examples: femur, sternum, maxilla, vertebra, talus."
abnormality,C1704258,abnormality,Finding,A condition that differs from the usual physical or mental state.
Gaseous,C0017110,Gaseous,Chemical Viewed Structurally,"Plyn neboli plynná látka je jedno ze skupenství látek, při kterém jsou částice relativně daleko od sebe, pohybují se v celém objemu a nepůsobí na sebe přitažlivou silou. V chemických rovnicích se označuje písmenem g (gas). Plynná tělesa nemají svůj tvar, ale jejich tvar odpovídá tvaru nádoby; nemají vlastní objem, ale vyplňují vždy celý objem nádoby; plynná tělesa nemají volný povrch (hladinu); plyny jsou stlačitelné; vedou elektrický proud jen za určitých speciálních podmínek; teplo se v plynech může šířit prouděním. Celkový tlak plynu ve směsi vzájemně chemicky neinteragujících plynů je dán Daltonovým zákonem. (upraveno podle Wikipedie 2022 http://www.cs.wikipedia.org/)"
distension,C3714614,distension,Finding,The condition of being stretched beyond normal dimensions.
stomach,C0038351,stomach,"Body Part, Organ, or Organ Component",An organ of digestion situated in the left upper quadrant of the abdomen between the termination of the ESOPHAGUS and the beginning of the DUODENUM.
Standard,C1442989,Standard (qualifier),Qualitative Concept,Regularly and widely used.
positioning,,,,
endotracheal,C0599554,endotracheal,Spatial Concept,Within the trachea.
distention,C3714614,distention,Finding,The condition of being stretched beyond normal dimensions.
focal,C0205234,focal,Spatial Concept,Limited to a specific area.
<<<<<<<< HEAD:nen/resource/simple/output.csv
consolidation,C0702116,consolidation,Qualitative Concept,No results
nasogastric,C3282907,nasogastric,Body Location or Region,No results
mid,,,,
portion,,,,
body,,,,
========
consolidation,C0702116,consolidation,No results,No results
nasogastric,C3282907,nasogastric,No results,No results
mid,C0444598,Middle,Spatial Concept,An intermediate part or section; an area that is approximately central within some larger region.
portion,C3658326,Portion Size,Quantitative Concept,"Množství určitého pokrmu, které si jedinec zvolí ke konzumaci v rámci jednoho jídla. Liší se od doporučené velikosti porce, což je referenční množství pokrmu definované směrodatným úředním zdrojem."
body,C1268086,Body structure,Anatomical Structure,None
>>>>>>>> origin/main:nen/resource/output.csv
The side - port,,,,
esophagogastric,C0475468,esophagogastric,Body Location or Region,No results
junction,,,,
Otherwise,,,,
<<<<<<<< HEAD:nen/resource/simple/output.csv
little,C1440917,little,Immunologic Factor,No results
change,,,,
========
little,C1440917,little,No results,No results
change,C4319952,Change -- procedure,Therapeutic or Preventive Procedure,None
>>>>>>>> origin/main:nen/resource/output.csv
volumes,C0449468,volumes,Quantitative Concept,The amount of three dimensional space occupied by an object or the capacity of a space or container.
stable,C0205360,Stable status,Qualitative Concept,Subject to little fluctuation; showing little if any change.
ET,,,,
4.3 cm,,,,
NG,,,,
malpositioned,C0333042,Malposition,Spatial Concept,A physical quality in which the entity or structure is not appropriately or correctly placed.
near,C1706276,near,Qualitative Concept,Not far distant in time or space or degree or circumstances.
<<<<<<<< HEAD:nen/resource/simple/output.csv
appropriate,C1548787,appropriate,Qualitative Concept,No results
position,,,,
enteric,,,,
========
appropriate,C1548787,appropriate,No results,No results
position,C0733755,Positioning (attribute),Spatial Concept,<p>An observation denoting the physical location of a person or thing based on a reference coordinate system.</p>
enteric,C4316902,Enteric Bacteria,Bacterium,see RTs for specific organisms.
>>>>>>>> origin/main:nen/resource/output.csv
cardiopulmonary,C0553534,cardiopulmonary,Body Location or Region,Pertaining to both the heart and the lungs.
disease,C0012634,disease,Disease or Syndrome,"Definovaný patologický proces s charakteristickými příznaky a symptomy. Nemoc může postihnout celé tělo nebo jeho část a její etiologie, patologie a prognóza mohou být známé nebo neznámé."
pneumonia,C0032285,pneumonia,Disease or Syndrome,"Infekce plic, často doprovázená zánětem."
vascular,C1801960,vascular,Qualitative Concept,Relating to or containing blood vessels.
congestion,C0700148,congestion,Pathologic Function,No results
approximately 1.8 cm,,,,
barely,,,,
proximal,C0205107,proximal,Spatial Concept,Localized close to the central point of the body. [https://orcid.org/0000-0002-0736-9199]
side ports,,,,
approximately 12 cm,,,,
approximately 2 cm,,,,
Lung,C0024109,Lung,"Body Part, Organ, or Organ Component","Lobular organ the parenchyma of which consists of air-filled alveoli which communicate with the tracheobronchial tree. Examples: There are only two instances, right lung and left lung."
low,C0205251,low,Qualitative Concept,"A minimum level or position or degree; less than normal in degree, intensity or amount."
overt,,,,
CHF,C0018802,Congestive heart failure,Disease or Syndrome,"Vznik otoků, transsudátů vede k obrazu tzv. městnavého (kongestivního) selhání srdce. (cit. Velký lékařský slovník online, 2017 http://lekarske.slovniky.cz)"
silhouette,,,,
structures,C0678594,structures,Spatial Concept,The components and their relationship and manner of arrangement in constituting a whole.
intact,C0205266,intact,Qualitative Concept,Undamaged in any way; whole.
Limited,C0439801,Limited (extensiveness),Functional Concept,"Restricted or in amount, size, or extent."
negative,C0205160,negative,Finding,"<p>An absence finding of the specified component / analyte, organism or clinical sign based on the established threshold of the performed test or procedure.</p><p>\[Note: Negative does not necessarily imply the complete absence of the specified item.\]</p>"
Low,C0205251,Low,Qualitative Concept,"A minimum level or position or degree; less than normal in degree, intensity or amount."
This,,,,
<<<<<<<< HEAD:nen/resource/simple/output.csv
cardiac,,,,
mildly,,,,
enlarged,C0442800,enlarged,Qualitative Concept,No results
unchanged,,,,
========
cardiac,C0018787,Heart,"Body Part, Organ, or Organ Component","Det hule, muskulære organet som opprettholder blodsirkulasjonen."
mildly,C2945599,Mild (qualifier value),Qualitative Concept,"Having a relatively minor degree of severity. For quantitative traits, a deviation of between two and three standard deviations from the appropriate population mean. [https://orcid.org/0000-0002-0736-9199]"
enlarged,C0442800,enlarged,No results,No results
unchanged,C1548447,UNCHANGED * - Problem/goal action code,Intellectual Product,None
>>>>>>>> origin/main:nen/resource/output.csv
crowding,C0010383,crowding,Social Behavior,"Número excessivo de indivíduos, humanos ou animais, em relação ao espaço disponível."
bronchovascular,C2326513,Bronchovascular bundle,Body Location or Region,None
pulmonary,C0024109,Lung,"Body Part, Organ, or Organ Component","Lobular organ the parenchyma of which consists of air-filled alveoli which communicate with the tracheobronchial tree. Examples: There are only two instances, right lung and left lung."
edema,C0013604,edema,Pathologic Function,Abnormal fluid accumulation in TISSUES or body cavities. Most cases of edema are present under the SKIN in SUBCUTANEOUS TISSUE.
Minimal,C0547040,Minimal,Qualitative Concept,"<b>Description:</b>Provides more than identified, but not as much as universal. There are not expected to be many of these."
patchy,C0205413,Patchy (qualifier value),Qualitative Concept,"Irregular or uneven in quality, texture, or distribution."
bibasilar,C2315107,Bibasilar Finding,Diagnostic Procedure,None
opacities,C1265876,Abnormally opaque structure (morphologic abnormality),Pathologic Function,None
infection,C3714514,infection,Pathologic Function,"Nákaza. Proniknutí choroboplodných zárodků (bakterií, virů, chlamydií, ricketsií, plísní) do organismu. Příslušné mikroorganismy vnikají do těla různými způsoby. V těle se pomnoží a po určité době nutné k rozvoji onemocnění (inkubační době) se objevují příznaky více či méně typické pro danou infekci. Někdy nakažený jedinec choroboplodné zárodky vylučuje a může tak nakazit jiné osoby. Výrazný vliv na vznik a průběh i. má imunitní systém. (cit. Velký lékařský slovník online, 2013 http://lekarske.slovniky.cz/ )"
abnormalities,C0000768,Congenital Abnormality,Congenital Abnormality,"Any abnormality, anatomical or biochemical, evident at birth or during the neonatal period."
Patchy,C0205413,Patchy (qualifier value),Qualitative Concept,"Irregular or uneven in quality, texture, or distribution."
Borderline,C0205189,Borderline,Qualitative Concept,"Having a minor degree of severity that is considered to be on the boundary between the normal and the abnormal ranges. For quantitative traits, a deviation of that is less than two standard deviations from the appropriate population mean. [https://orcid.org/0000-0002-0736-9199]"
effusions,C0013687,effusions,Pathologic Function,a collection of fluid in a body cavity
left,C0205091,left,Spatial Concept,Being or located on or directed toward the side of the body to the west when facing north.
basal,C0205112,basal,Spatial Concept,The lowest layer of a structure.
<<<<<<<< HEAD:nen/resource/simple/output.csv
parenchymal,,,,
opacity,,,,
remnant,C4554476,remnant,Finding,No results
========
parenchymal,C4277702,Parenchymal Tissue,Tissue,"Tkáň, která tvoří základní nebo funkční část nějakého tělního orgánu (např. plicní parenchym, jaterní parenchym nebo parenchym ledvin)."
opacity,C1265876,Abnormally opaque structure (morphologic abnormality),Pathologic Function,None
remnant,C4554476,remnant,No results,No results
>>>>>>>> origin/main:nen/resource/output.csv
complications,C0009566,complications,Pathologic Function,"additional, secondary problem that arises during or following a procedure, treatment or illness."
frontal,,,,
lateral,C0205093,lateral,Spatial Concept,Applies to an abnormality that is located farther from the median plane or midline of the body or of the referenced structure. []
radiograph,C1306645,Plain x-ray,Diagnostic Procedure,An image produced on a radiosensitive surface by x-ray radiation that has penetrated and passed through a structure.
Moderate,C5201148,Moderate,Finding,Disease activity score: 30 to 44
scoliosis,C0036439,"Scoliosis, unspecified",Disease or Syndrome,"Vychýlení páteře do strany. S. může být vrozená nebo způsobená různými onemocněními páteře, zádových svalů nebo nervů. S. může mít charakter nestrukturální (např. při lumboischialgických bolestech, nestejné délce dolních končetin, onemocnění hrudní dutiny) nebo strukturální (klínovitá hemivertebra, torze obratle aj.). Podle příčiny se rovněž rozlišuje s. osteopatická, myopatická, neuropatická. Značná část strukturálních s. je idiopatická. V léčbě je důležité cílené cvičení, vhodné je např. plavání, korzety, v některých případech je léčba operační. Srov. kyfoskolióza. (cit. Velký lékařský slovník online, 2013 http://lekarske.slovniky.cz/ )"
asymmetry,C0332514,Asymmetry (qualifier value),Qualitative Concept,A finding of a lack of symmetry between two or more bilaterally aligned structures.
ribcage,C0222762,Rib Cage,"Body Part, Organ, or Organ Component","The thoracic cage is comprised of twelve pairs of ribs and associated costal cartilages, as well as the sternum. Note that the thoracic vertebrae are not part of the thoracic cage, but they are part of the skeleton of the thoracic segment of the trunk."
Mildly,C2945599,Mild (qualifier value),Qualitative Concept,"Having a relatively minor degree of severity. For quantitative traits, a deviation of between two and three standard deviations from the appropriate population mean. [https://orcid.org/0000-0002-0736-9199]"
underinflated,C1320706,Airway device cuff underinflated,Finding,None
largely,,,,
Osseous,C0262950,Skeletal bone,"Body Part, Organ, or Organ Component","Organ with cavitated organ parts, each instance of which has as its direct parts some maximal complement of compact (cortical) and cancellous bone, and some maximal complement of bone marrow cavities; together with instances of other bones, cartilages and joints, it constitutes some skeletal system. Examples: femur, sternum, maxilla, vertebra, talus."
The lateral view is limited,,,,
patient 's arms,,,,
increased,C0205217,increased,Quantitative Concept,No results
lower,,,,
They,C4740697,they/them/their/theirs/themselves,Intellectual Product,None
more,C0205172,more,Quantitative Concept,"Greater in size, amount, extent, or degree."
conspicuous,,,,
recent exam from ___,,,,
similar,C2348205,Similarity,Qualitative Concept,The quality of being alike; having characteristics in common.
previous exams from ___,,,,
Old,C0580836,Old,Temporal Concept,"Not new, of an earlier time."
rib,C0035561,Bone structure of rib,"Body Part, Organ, or Organ Component","A set of twelve curved bones which connect to the vertebral column posteriorly, and terminate anteriorly as costal cartilage. Together, they form a protective cage around the internal thoracic organs."
Left,C0205091,Left,Spatial Concept,Being or located on or directed toward the side of the body to the west when facing north.
aspiration,C0349707,Aspiration - action,Therapeutic or Preventive Procedure,Extracción que utiliza presión negativa
mediastinum,C0025066,mediastinum,Body Location or Region,"A membrane in the midline of the THORAX of mammals. It separates the lungs between the STERNUM in front and the VERTEBRAL COLUMN behind. It also surrounds the HEART, TRACHEA, ESOPHAGUS, THYMUS, and LYMPH NODES."
difficult to assess,,,,
overall,C1561607,overall,Qualitative Concept,Including everything.
appearance,C0700364,appearance,Qualitative Concept,The outward or visible aspect of a person or thing.
potentially,,,,
obscuring,,,,
upper,C1282910,upper,Spatial Concept,"In anatomy, indicating higher than a given reference point."
chest,C0817096,chest,Body Location or Region,"Subdivision of the trunk, which is demarcated from the neck by the plane of the superior thoracic aperture and from the abdomen internally by the inferior surface of the diaphragm and externally by the costal margin; together with the abdomen, pelvis and perineum, it constitutes the trunk. Examples: There is only one thorax."
cannot be assessed,C1707258,Cannot Be Assessed,Finding,Aspects of the context prevent the evaluation needed to determine a value.
Overall,C1561607,Overall,Qualitative Concept,Including everything.
findings,C2607943,findings aspects,Functional Concept,None
lobe,C0796494,lobe,"Body Part, Organ, or Organ Component","A portion of an organ, such as the liver, lung, breast, or brain."
New,C0205314,New,Qualitative Concept,Having no previous example or precedent or parallel; of a kind not seen before.
Mediastinal,C1522718,Mediastinal,Spatial Concept,Related to the mediastinum.
significant,C0750502,significant,Idea or Concept,"A term applied to differences, correlations, cause-and-effect relationships, etc., to indicate that they are noticeable, probably too closely correlated to be attributed to chance and therefore indicating a systematic relation: substantial, fairly large; also having consequence or import, important in effect or meaning. In statistics significant ordinarily indicates a probability of not less than 95 percent, while highly significant indicates a probability of not less than 99 percent."
Evaluation is limited,,,,
patient 's head,,,,
apices,,,,
visualized,,,,
heart,C0018787,heart,"Body Part, Organ, or Organ Component","Det hule, muskulære organet som opprettholder blodsirkulasjonen."
volume,C0449468,volume,Quantitative Concept,The amount of three dimensional space occupied by an object or the capacity of a space or container.
increasing,C0442808,Increasing (qualifier value),Functional Concept,None
substantial,,,,
layering,C0934502,anatomical layer,"Body Part, Organ, or Organ Component",A relatively thin sheetlike expanse or region lying over or under another.
compressive,,,,
Bilateral,C0238767,Bilateral,Spatial Concept,Being present on both sides of the body. [https://orcid.org/0000-0002-0736-9199]
worse,C1457868,worse,Finding,In an declined condition.
loculation,C0205277,Loculated,Qualitative Concept,None
new,C0205314,new,Qualitative Concept,Having no previous example or precedent or parallel; of a kind not seen before.
Cardiomediastinal,,,,
device,C0699733,device,Manufactured Object,"<p>A subtype of ManufacturedMaterial used in an activity, without being substantially changed through that activity. The kind of device is identified by the code attribute inherited from Entity.</p><i>Usage:</i>This includes durable (reusable) medical equipment as well as disposable equipment."
<<<<<<<< HEAD:nen/resource/simple/output.csv
border,,,,
right - sided,,,,
loculated,C0205277,loculated,Qualitative Concept,No results
========
border,C2828371,Border (boundary),Spatial Concept,A boundary line or the area immediately inside the boundary.
right - sided,C0444532,Right sided,Spatial Concept,Pertaining to the physical area of an object that is located to the right of its center.
loculated,C0205277,loculated,No results,No results
>>>>>>>> origin/main:nen/resource/output.csv
bilateral,C0238767,bilateral,Spatial Concept,Being present on both sides of the body. [https://orcid.org/0000-0002-0736-9199]
subjacent,C0542339,Inferior,Spatial Concept,In anatomy indicating lower than a given reference point.
well,,,,
<<<<<<<< HEAD:nen/resource/simple/output.csv
aerated,,,,
Bony,C0443157,Bony,Functional Concept,No results
TIPS,,,,
========
aerated,C2215609,aeration,Therapeutic or Preventive Procedure,None
Bony,C0443157,Bony,No results,No results
TIPS,C0339897,Transjugular intrahepatic portosystemic shunt (procedure),Therapeutic or Preventive Procedure,"Se realiza percutáneamente a través de la vena yugular e implica la creación de una derivación intrahepática entre la vena hepática y la vena porta. El canal se mantiene mediante una sonda metálica. El procedimiento puede ser realizado en pacientes que han fracasado con la escleroterapia y es una opción adicional a las técnicas quirúrgicas de derivaciones portocava, mesocava y esplenorrenal. La operación demora entre una y tres horas."
>>>>>>>> origin/main:nen/resource/output.csv
quadrant,C1631280,quadrant,Spatial Concept,"One quarter of a circle. In anatomy, one part of an area divided into quarters for descriptive purposes."
consolidations,C0702116,consolidations,Qualitative Concept,No results
areas,C0205146,areas,Spatial Concept,The extent of a 2-dimensional surface enclosed within a boundary.
round,C0332490,Round shape,Spatial Concept,The shape of a circle.
larger,C0549177,larger,Quantitative Concept,"Of considerable or relatively great size, extent, or capacity."
Small,C0700321,Small,Quantitative Concept,"Limited in number, quantity, magnitude or extent."
relevant,C2347946,Relevance,Qualitative Concept,The relation of something to the matter at hand.
Unchanged,C0442739,No status change,Finding,"<p>**Description:**There was (or is to be) no change to the item. This is primarily used when this element has not changed, but other attributes in the instance have changed.</p>"
Superimposed,,,,
within,C0332285,within,Spatial Concept,On the inside; contained in.
limits,C0442816,Normal limits,Finding,None
aorta,C0003483,aorta,"Body Part, Organ, or Organ Component","Srdečnice. Největší tepna organismu, která vystupuje přímo z levé srdeční komory. Probíhá hrudníkem a břišní dutinou (před páteří) až do bederní oblasti, kde se dělí (bifurkace) na dvě kyčelní tepny (aa. ilicae). Vystupuje z ní v různých částech řada větví, které zásobují okysličenou krví všechny orgány těla. A. ascendens - vzestupná a., počáteční úsek a. přecházející v aortální oblouk (arcus aortae). Navazuje a. descendens, která má část hrudní (a. thoracica) a břišní (a. abdominalis). (cit. Velký lékařský slovník online, 2017 http://lekarske.slovniky.cz)"
unfolded,,,,
vascularity,C4068833,vascularity,Finding,No results
small,C0700321,small,Quantitative Concept,"Limited in number, quantity, magnitude or extent."
moderate,C5201148,moderate,Finding,Disease activity score: 30 to 44
partially,,,,
Bibasilar,C0232118,Bibasilar,Finding,None
airspace,,,,
<<<<<<<< HEAD:nen/resource/simple/output.csv
costophrenic,,,,
angle,C0231760,angle,Finding,No results
========
costophrenic,C0230151,Costophrenic angle,Body Location or Region,The angled junction where the diaphragm meets the chest wall.
angle,C0231760,angle,No results,No results
>>>>>>>> origin/main:nen/resource/output.csv
overlying,,,,
wires,,,,
increase,C0442805,increase,Functional Concept,"A process of becoming larger, more numerous, more important, or more likely."
component,C5690167,component,Intellectual Product,No results
laterally,,,,
not well assessed,,,,
monitoring,C1283169,Monitoring - action,Activity,None
support,,,,
devices,C0699733,devices,Manufactured Object,"<p>A subtype of ManufacturedMaterial used in an activity, without being substantially changed through that activity. The kind of device is identified by the code attribute inherited from Entity.</p><i>Usage:</i>This includes durable (reusable) medical equipment as well as disposable equipment."
mild,C2945599,Mild (qualifier value),Qualitative Concept,"Having a relatively minor degree of severity. For quantitative traits, a deviation of between two and three standard deviations from the appropriate population mean. [https://orcid.org/0000-0002-0736-9199]"
post - operative,C0241311,post operative (finding),Finding,"<p>After any <a href=""https://medlineplus.gov/surgery.html"">operation</a>, you\'ll have some side effects. There is usually some pain with surgery. There may also be swelling and soreness around the area that the surgeon cut. Your surgeon can tell you which side effects to expect.</p> <p>There can also be complications. These are unplanned events linked to the operation. Some complications are infection, too much bleeding, reaction to <a href=""https://medlineplus.gov/anesthesia.html"">anesthesia</a>, or accidental injury. Some people have a greater risk of complications because of other medical conditions.</p> <p>Your surgeon can tell you how you might feel and what you will be able to do - or not do - the first few days, weeks, or months after surgery. Some other questions to ask are:</p><ul> <li>How long you will be in the hospital</li> <li>What kind of supplies, equipment, and help you might need when you go home</li> <li>When you can go back to work</li> <li>When it is ok to start exercising again</li> <li>Are they any other restrictions in your activities</li> </ul> <p>Following your surgeon\'s advice can help you recover as soon as possible.</p> <p class="""">Agency for Healthcare Research and Quality</p>"
alignment,C1706765,alignment,Spatial Concept,The act of adjusting or aligning objects in relation to each other; the result of this activity.
sternal,C0038293,Sternum,"Body Part, Organ, or Organ Component","Flat bone, each instance of which is some flat bone forming the middle of the anterior part of some rib cage."
Mild,C2945599,Mild (qualifier value),Qualitative Concept,"Having a relatively minor degree of severity. For quantitative traits, a deviation of between two and three standard deviations from the appropriate population mean. [https://orcid.org/0000-0002-0736-9199]"
retrocardiac,,,,
Stable,,,,
cardiomegaly,C0018800,cardiomegaly,Finding,Abnormal enlargement of the heart.
artery,C0003842,Arteries,"Body Part, Organ, or Organ Component",The vessels carrying blood away from the heart.
enlargement,C2711450,Enlargement (morphologic abnormality),Anatomical Abnormality,None
main,C1542147,main,Qualitative Concept,Most important; principal.
subclavian,C0038530,Structure of subclavian artery,"Body Part, Organ, or Organ Component",An artery located below the clavicle that supplies blood to the head and the arms. The right subclavian artery originates from the brachiocephalic artery and the left subclavian artery originates from the aortic arch.
PICC,C0179740,Peripherally inserted central catheter (physical object),Medical Device,"Central venous infusion catheters designed for insertion in the peripheral vasculature (typically in the basilic or cephalic veins) and that are long enough to advance and locate their distal tip in a central vein, usually the superior or inferior vena cava. The length of these catheters is typically 22 to 60 cm (9 to 24 inches), and they are usually made of silicone elastomers (silastic) or polyurethane. They may be inserted using a variety of techniques (e.g., using a breakaway needle introducer, though over-the-needle catheters are provided with guide wires using the Seldinger technique); most of these catheters are provided with guide wires to assist their insertion."
line,C0230719,line,Cell Component,"Platelike region of a muscle sarcomere to which the plus ends of actin filaments are attached. [GOC:mtg_muscle, ISBN:0815316194]"
SVC,,,,
elevated,C3163633,elevated,Qualitative Concept,Raised or increased above normal levels or limits.
venous,C0348013,venous,Spatial Concept,"Of, or pertaining to, or contained in, or performing the function of the veins."
pressure,C0033095,Pressure - physical agent,Phenomenon or Process,Typ síly působící jednotně ve všech směrech. Fyzikální veličinou je velikost síly působící na jednotku plochy. Jednotkou tlaku je Pascal (Pa).
sharply,,,,
<<<<<<<< HEAD:nen/resource/simple/output.csv
hemidiaphragm,,,,
decrease,C0547047,decrease,Quantitative Concept,No results
opacification,C0449584,opacification,Qualitative Concept,No results
========
hemidiaphragm,C1269845,Structure of hemidiaphragm,"Body Part, Organ, or Organ Component",None
decrease,C0547047,decrease,No results,No results
opacification,C0449584,opacification,No results,No results
>>>>>>>> origin/main:nen/resource/output.csv
base,C0178499,base,Chemical Viewed Functionally,opposite of acid
an,,,,
prominent,C0205402,prominent,Qualitative Concept,No results
underlying,C4722602,underlying,Finding,"Situated beneath, or the basic or root cause of something."
Cardiac,C0018787,Heart,"Body Part, Organ, or Organ Component","Det hule, muskulære organet som opprettholder blodsirkulasjonen."
adjacent,C0205117,adjacent,Spatial Concept,Next to or adjoining.
top - normal,,,,
<<<<<<<< HEAD:nen/resource/simple/output.csv
hypertension,,,,
Enlarged,C0442800,Enlarged,Qualitative Concept,No results
========
hypertension,C0020538,Hypertensive disease,Disease or Syndrome,"Onemocnění charakterizované zvýšeným tepenným tlakem ve velkém krevním oběhu (nad 140/90 mmHg). Jedno z nejčastějších onemocnění, jehož příčina většinou není známa (tzv. esenciální h., u níž existuje řada teorií vysvětlujících její vznik). V malém počtu případů je vysoký krevní tlak způsoben jinou chorobou (tzv. sekundární h.), zejm. onemocněním ledvin (např. glomerulonefritida, renální insuficience) či nadledvin (Connův syndrom, feochromocytom), popř. koarktací aorty aj. Levá srdeční komora musí u h. čerpat krev proti vysokému tlaku, což vede k jejímu zatěžování a hypertrofii a postupnému poškození. Vysoký krevní tlak se nemusí zejm. zpočátku projevovat žádnými nápadnými příznaky, ale později se mohou dostavit závažné komplikace (srdeční selhání, urychlení aterosklerózy, ICHS, cévní mozkové příhody, postižení ledvin). (cit. Velký lékařský slovník online, 2018 http://lekarske.slovniky.cz)"
Enlarged,C0442800,Enlarged,No results,No results
>>>>>>>> origin/main:nen/resource/output.csv
prominence,,,,
atrium,C0018792,Heart Atrium,"Body Part, Organ, or Organ Component","The chambers of the heart, to which the BLOOD returns from the circulation."
mitral,C0746591,mitral,Qualitative Concept,a valve that controls blood flow between heart chambers
valve,C1186983,Anatomical valve,"Body Part, Organ, or Organ Component",None
origin,C0439659,Beginning,Temporal Concept,"Have a beginning, in a temporal, spatial, or evaluative sense; the point in space or time where something begins."
infectious,C0009450,Communicable Diseases,Disease or Syndrome,"A disorder resulting from the presence and activity of a microbial, viral, fungal, or parasitic agent. It can be transmitted by direct or indirect contact."
process,C1522240,process,Phenomenon or Process,A sequence of events which produces some outcome.
engorgement,C0020452,Hyperemia,Disease or Syndrome,"The presence of an increased amount of blood in a body part or an organ leading to congestion or engorgement of blood vessels. Hyperemia can be due to increase of blood flow into the area (active or arterial), or due to obstruction of outflow of blood from the area (passive or venous)."
failure,C5200924,failure,Idea or Concept,A lack of occurrence or performance.
