name,ui,normalized_name,semanticTypes,definition
similar,C2348205,Similarity,,
previous exams from ___,unnormalizable,unnormalizable,,
rib,C0035561,Bone structure of rib,,
aspiration,C0349707,Aspiration - action,,
difficult to assess,unnormalizable,unnormalizable,,
potentially,unnormalizable,unnormalizable,,
obscuring,unnormalizable,unnormalizable,,
cannot be assessed,C1707258,Cannot Be Assessed,,
findings,C2607943,findings aspects,,
Evaluation is limited,unnormalizable,unnormalizable,,
patient 's head,unnormalizable,unnormalizable,,
apices,unnormalizable,unnormalizable,,
visualized,unnormalizable,unnormalizable,,
increasing,C0442808,Increasing (qualifier value),,
substantial,unnormalizable,unnormalizable,,
layering,C0934502,anatomical layer,,
compressive,unnormalizable,unnormalizable,,
loculation,C0205277,Loculated,,
Cardiomediastinal,unnormalizable,unnormalizable,,
border,C2828371,Border (boundary),,
right - sided,C0444532,Right sided,,
subjacent,C0542339,Inferior,,
well,unnormalizable,unnormalizable,,
aerated,C2215609,aeration,,
TIPS,C0339897,Transjugular intrahepatic portosystemic shunt (procedure),,
round,C0332490,Round shape,,
relevant,C2347946,Relevance,,
Unchanged,C0442739,No status change,,
Superimposed,unnormalizable,unnormalizable,,
limits,C0442816,Normal limits,,
unfolded,unnormalizable,unnormalizable,,
partially,unnormalizable,unnormalizable,,
Bibasilar,C0232118,Bibasilar,,
airspace,unnormalizable,unnormalizable,,
costophrenic,C0230151,Costophrenic angle,,
overlying,unnormalizable,unnormalizable,,
wires,unnormalizable,unnormalizable,,
laterally,unnormalizable,unnormalizable,,
not well assessed,unnormalizable,unnormalizable,,
monitoring,C1283169,Monitoring - action,,
support,unnormalizable,unnormalizable,,
mild,C2945599,Mild (qualifier value),,
post - operative,C0241311,post operative (finding),,
sternal,C0038293,Sternum,,
Mild,C2945599,Mild (qualifier value),,
retrocardiac,unnormalizable,unnormalizable,,
Stable,unnormalizable,unnormalizable,,
artery,C0003842,Arteries,,
enlargement,C2711450,Enlargement (morphologic abnormality),,
subclavian,C0038530,Structure of subclavian artery,,
PICC,C0179740,Peripherally inserted central catheter (physical object),,
SVC,unnormalizable,unnormalizable,,
pressure,C0033095,Pressure - physical agent,,
sharply,unnormalizable,unnormalizable,,
hemidiaphragm,C1269845,Structure of hemidiaphragm,,
an,unnormalizable,unnormalizable,,
Cardiac,C0018787,Heart,,
top - normal,unnormalizable,unnormalizable,,
hypertension,C0020538,Hypertensive disease,,
prominence,unnormalizable,unnormalizable,,
atrium,C0018792,Heart Atrium,,
valve,C1186983,Anatomical valve,,
origin,C0439659,Beginning,,
infectious,C0009450,Communicable Diseases,,
engorgement,C0020452,Hyperemia,,
layer,C0934502,anatomical layer,,
dependently,unnormalizable,unnormalizable,,
peculiar,unnormalizable,unnormalizable,,
pericardial,C0442031,Pericardial body location,,
relatively,unnormalizable,unnormalizable,,
contour,C0876954,Contour form,,
changed,unnormalizable,unnormalizable,,
hilus,unnormalizable,unnormalizable,,
not less distinct,unnormalizable,unnormalizable,,
overload,unnormalizable,unnormalizable,,
out of review,unnormalizable,unnormalizable,,
Multiple,C0439064,Numerous,,
multiple,C0439064,Numerous,,
deformities,C1527361,deformities qualifier,,
thoracic,C0817096,Chest,,
ribs,C0035561,Bone structure of rib,,
fifith,unnormalizable,unnormalizable,,
Slight,C2937276,Slight (qualifier value),,
posterior,C0205095,Dorsal,,
calcified,C0175895,Calcified (qualifier value),,
Severe,C0205082,Severe (severity modifier),,
standard,C1442989,Standard (qualifier),,
below,C0542339,Inferior,,
diaphragm,C0011980,Respiratory Diaphragm,,
margin,C0205284,Marginal,,
thickening,C0205400,Thickened,,
S type,unnormalizable,unnormalizable,,
configuration,unnormalizable,unnormalizable,,
similar to prior,unnormalizable,unnormalizable,,
scarring,C2004491,Cicatrix,,
streaky,unnormalizable,unnormalizable,,
superimposed,unnormalizable,unnormalizable,,
top,C1704458,Top (position),,
wall,unnormalizable,unnormalizable,,
surgery,C0543467,Operative Surgical Procedures,,
slight,C2937276,Slight (qualifier value),,
hyperinflated,C1167782,Lung hyperinflation,,
Sternotomy,C0185792,Sternotomy (procedure),,
median,unnormalizable,unnormalizable,,
sternotomy,C0185792,Sternotomy (procedure),,
CABG,C0010055,Coronary Artery Bypass Surgery,,
obstructive,C0549186,Obstructed,,
Degenerative,C0011164,Abnormal degeneration,,
changes,C0392747,Changing,,
along,C0205154,Along edge (qualifier value),,
spine,C0037949,Vertebral column,,
COPD,C0024117,Chronic Obstructive Airway Disease,,
blunting,unnormalizable,unnormalizable,,
trace,unnormalizable,unnormalizable,,
knob,C1708612,Knob Device,,
calcifications,C2242558,"Pathologic calcification, calcified structure",,
multilevel,unnormalizable,unnormalizable,,
degenerative,C0011164,Abnormal degeneration,,
airway,C0458827,Airway structure,,
post CABG,unnormalizable,unnormalizable,,
appropriately,unnormalizable,unnormalizable,,
aligned,C1706765,Alignment,,
diaphragms,unnormalizable,unnormalizable,,
markings,unnormalizable,unnormalizable,,
institial,unnormalizable,unnormalizable,,
infiltrate,C0332448,Infiltration,,
frank,unnormalizable,unnormalizable,,
subtle,unnormalizable,unnormalizable,,
9 mm,unnormalizable,unnormalizable,,
otherwise,C1518425,Not Otherwise Specified,,
aspect,C1879746,Aspect (characteristic),,
elongation,unnormalizable,unnormalizable,,
flattening,C0333074,Flattening deformity,,
hemidiaphragms,C1269845,Structure of hemidiaphragm,,
resolving,C1709864,Recovering or Resolving,,
hila,C2073515,x-ray of chest: appearance of hilum,,
Improving,C1272745,Improving (qualifier value),,
moderately,C0205081,Moderate (severity modifier),,
AP,unnormalizable,unnormalizable,,
diameter,C1301886,Diameter (qualifier value),,
Lower,unnormalizable,unnormalizable,,
secondary,unnormalizable,unnormalizable,,
accentuation,unnormalizable,unnormalizable,,
Ovoid,C0332492,Ovoid shape,,
bilaterally,unnormalizable,unnormalizable,,
infiltrates,C0332448,Infiltration,,
free,unnormalizable,unnormalizable,,
Supportive,unnormalizable,unnormalizable,,
Continued,C0444791,Continued movement,,
fully,unnormalizable,unnormalizable,,
expanded,unnormalizable,unnormalizable,,
midline,C0549183,Midline (qualifier value),,
IJ,unnormalizable,unnormalizable,,
fluid,C1704353,fluid - substance,,
Monitoring,C1283169,Monitoring - action,,
port,unnormalizable,unnormalizable,,
catheter,C0085590,catheter device,,
Hyperinflated,C1167782,Lung hyperinflation,,
over,C0205136,Over (spatial),,
superior vena cava,C0042459,Superior vena cava structure,,
intrathoracic,unnormalizable,unnormalizable,,
jugular,C0022427,Structure of jugular vein,,
superior,C1282910,Upper,,
cavoatrial,unnormalizable,unnormalizable,,
caliber,C1301886,Diameter (qualifier value),,
Port - A - Cath,C3495140,Port-A-Cath,,
cavoatrial junction,unnormalizable,unnormalizable,,
essentially,unnormalizable,unnormalizable,,
inflated,unnormalizable,unnormalizable,,
aortic,C0003483,Aorta,,
knuckle,C0025525,Metacarpophalangeal joint structure,,
demineralization,C0085511,Tooth Demineralization,,
Well,unnormalizable,unnormalizable,,
focus,unnormalizable,unnormalizable,,
hazy,C0848431,cloudy/hazy vision,,
ill - defined,unnormalizable,unnormalizable,,
lingular,C0225634,Structure of lingular bronchus,,
faint,C0039070,Syncope,,
perihilar,unnormalizable,unnormalizable,,
in extent,unnormalizable,unnormalizable,,
severity,C0521117,Severity of illness,,
Retrocardiac,unnormalizable,unnormalizable,,
valvular,unnormalizable,unnormalizable,,
Discrete,C0443299,Separate,,
worsened,C4084902,Got Worse,,
infrahilar,unnormalizable,unnormalizable,,
drain,C0180499,Drain device,,
internal jugular,C0226550,Internal jugular vein structure,,
postoperative,C0032790,Postoperative Period,,
Midline,C0549183,Midline (qualifier value),,
drains,C0180499,Drain device,,
in place,unnormalizable,unnormalizable,,
Swan - Ganz,C0007438,Swan-Ganz Catheterization,,
pulmonic,C5453853,Pulmonic flow,,
nondistended,unnormalizable,unnormalizable,,
5 cm above,unnormalizable,unnormalizable,,
Median,unnormalizable,unnormalizable,,
proximally,unnormalizable,unnormalizable,,
cardia,C0007144,Cardia of stomach,,
blurring,C1847840,Visual blurring,,
side port,unnormalizable,unnormalizable,,
the Swan - Ganz,unnormalizable,unnormalizable,,
homogeneous,C1881065,Homogeneity,,
worrisome,C0233481,Worried,,
Trace,C0442822,trace amount,,
Biapical,unnormalizable,unnormalizable,,
Surgical,C0587668,Surgical service,,
pneumomediastinum,C0032283,"Pneumomediastinum, Diagnostic",,
biapical,unnormalizable,unnormalizable,,
surgical,C0587668,Surgical service,,
deviation,unnormalizable,unnormalizable,,
thyroid,C0040132,Thyroid Gland,,
vessel on end,unnormalizable,unnormalizable,,
malignancy,C0006826,Malignant Neoplasms,,
Thoracic,C0817096,Chest,,
RELEVANT,C2347946,Relevance,,
CHANGE,C0392747,Changing,,
PARENCHYMAL,C4277702,Parenchymal Tissue,,
OPACITIES,C1265876,Abnormally opaque structure (morphologic abnormality),,
PNEUMONIA,C0032285,Pneumonia,,
OTHER,C0205394,Other,,
FOCAL,C0205234,Focal,,
DIFFUSE,C0205219,Diffuse,,
LUNG,C0024109,Lung,,
DISEASE,C0012634,Disease,,
NORMAL,C0205307,Normal,,
SIZE,C0456389,size,,
CARDIAC,C0018787,Heart,,
SILHOUETTE,unnormalizable,unnormalizable,,
HILAR,C0205150,Hilar,,
MEDIASTINAL,C1522718,Mediastinal,,
STRUCTURES,C0678594,Structure,,
AZYGOS,unnormalizable,unnormalizable,,
LOBE,C0796494,lobe,,
remainder,unnormalizable,unnormalizable,,
azygos,C0265794,Azygos lobe of lung,,
arch,unnormalizable,unnormalizable,,
midlung,unnormalizable,unnormalizable,,
Calcific,C0175895,Calcified (qualifier value),,
densities,C0178587,density,,
crowding of,unnormalizable,unnormalizable,,
minimally,unnormalizable,unnormalizable,,
crowd,C0010383,Crowding,,
Hemidiaphragm,C1269845,Structure of hemidiaphragm,,
some,C0205392,Some (qualifier value),,
Blunting,unnormalizable,unnormalizable,,
in standard position,unnormalizable,unnormalizable,,
side holes,C2584728,Side hole epidural catheter,,
axillary,C0004454,Axilla,,
tips,unnormalizable,unnormalizable,,
3.5 cm,unnormalizable,unnormalizable,,
object,C0347997,Physical object,,
components,unnormalizable,unnormalizable,,
curvilinear,unnormalizable,unnormalizable,,
beneath,C0542339,Inferior,,
mainstem,C3807610,Thickened mainstem bronchi,,
bronchus,C0006255,Bronchi,,
related,C0445223,Related (finding),,
well - expanded,unnormalizable,unnormalizable,,
in acceptable position,unnormalizable,unnormalizable,,
advanced,unnormalizable,unnormalizable,,
by several centimeters,unnormalizable,unnormalizable,,
implement,unnormalizable,unnormalizable,,
medially,unnormalizable,unnormalizable,,
less,C0439092,Less Than,,
a change in patient position,C0456201,Positioning of patient,,
not well seen,unnormalizable,unnormalizable,,
Pacer,C0030163,Artificial cardiac pacemaker,,
leads,C4053416,"Leads, Electromyograph",,
less prominent,unnormalizable,unnormalizable,,
upright position,C0231472,Standing position,,
on waterseal,unnormalizable,unnormalizable,,
amount,C1265611,Quantity,,
Rib,C0035561,Bone structure of rib,,
partially assessed,unnormalizable,unnormalizable,,
tiny,unnormalizable,unnormalizable,,
appreciable,unnormalizable,unnormalizable,,
existing,unnormalizable,unnormalizable,,
thickenings,C0205400,Thickened,,
injury,C3263722,Traumatic AND/OR non-traumatic injury,,
regressed,unnormalizable,unnormalizable,,
gross,unnormalizable,unnormalizable,,
malalignment,C1275957,Misalignment,,
lateral structures,unnormalizable,unnormalizable,,
thorax,C0817096,Chest,,
elevate,unnormalizable,unnormalizable,,
injuries,C3263723,Traumatic injury,,
transverse,unnormalizable,unnormalizable,,
L 2 through L 4,C0004604,Lumbar Vertebrae,,
first,unnormalizable,unnormalizable,,
portions,unnormalizable,unnormalizable,,
comminuted,C0476171,"Fractures, Comminuted",,
posteriorly,unnormalizable,unnormalizable,,
displacement,unnormalizable,unnormalizable,,
scapula,C0036277,Bone structure of scapula,,
hemithorax,C1269692,Entire hemithorax,,
to the right,C0546911,To the right (qualifier value),,
obliquity of the patient,unnormalizable,unnormalizable,,
shift,unnormalizable,unnormalizable,,
Poor definition,unnormalizable,unnormalizable,,
clavicle,C0008913,Bone structure of clavicle,,
not as well seen on this study,unnormalizable,unnormalizable,,
4 cm above,unnormalizable,unnormalizable,,
lucency,unnormalizable,unnormalizable,,
emphysema,C0034067,Pulmonary Emphysema,,
left - sided,C0443246,Left sided,,
Pneumomediastinum,C0032283,"Pneumomediastinum, Diagnostic",,
severely,C0205082,Severe (severity modifier),,
hemorrahge,C0019080,Hemorrhage,,
assessment,unnormalizable,unnormalizable,,
limited,C0439801,Limited (extensiveness),,
higher,C0205250,High,,
opacified,unnormalizable,unnormalizable,,
alongside,unnormalizable,unnormalizable,,
elongated,unnormalizable,unnormalizable,,
aortosclerosis,C0340663,Aortic Diseases,,
increse,unnormalizable,unnormalizable,,
collections,unnormalizable,unnormalizable,,
bleeding,C0019080,Hemorrhage,,
sharp,unnormalizable,unnormalizable,,
severe,C0205082,Severe (severity modifier),,
subcutaneus,unnormalizable,unnormalizable,,
deeper,unnormalizable,unnormalizable,,
pneumo mediastinum,C0032285,Pneumomediastinum,,
1-2 mm,unnormalizable,unnormalizable,,
Unremarkable,C0205307,Normal,,
tuberculous,C0041296,Tuberculosis,,
A,unnormalizable,unnormalizable,,
rod,unnormalizable,unnormalizable,,
overlies,unnormalizable,unnormalizable,,
T 5 through T 9,unnormalizable,unnormalizable,,
of T 5 through T 9,unnormalizable,unnormalizable,,
intrafissural,unnormalizable,unnormalizable,,
1.5 cm,unnormalizable,unnormalizable,,
aforementioned,unnormalizable,unnormalizable,,
excavatum,C2051831,Pectus excavatum,,
feeding,C2987508,Feeding activity,,
tubes,C0175730,biomedical tube device,,
pneumothoraces,C4025027,Repeated pneumothoraces,,
Swan,unnormalizable,unnormalizable,,
sheath,unnormalizable,unnormalizable,,
positions,C0733755,Positioning (attribute),,
lines,unnormalizable,unnormalizable,,
bubble,C0001863,Air bubble,,
subpulmonic,unnormalizable,unnormalizable,,
Post - operative,C0241311,post operative (finding),,
predominance,unnormalizable,unnormalizable,,
markedly,unnormalizable,unnormalizable,,
Calcified,C0175895,Calcified (qualifier value),,
Streaky,unnormalizable,unnormalizable,,
diffusely,unnormalizable,unnormalizable,,
demineralized,C1832069,Demineralized Bone Matrix (biomedical material),,
vertebral,C0037949,Vertebral column,,
bodies,C0242821,Human body,,
humeral,C0020164,Bone structure of humerus,,
calcific,C1533591,Calcification,,
indistinctness,unnormalizable,unnormalizable,,
worsening,C0332271,Worsening (qualifier value),,
vessels,C0005847,Blood Vessel,,
sinus,C1305231,Sinus - general anatomical term,,
moderate - sized,unnormalizable,unnormalizable,,
peribronchial,C0225607,Structure of peribronchial tissue,,
interspace,unnormalizable,unnormalizable,,
non - tuberculous,unnormalizable,unnormalizable,,
poor,C2700379,Poor - qualifier,,
reexpansion,C1611712,Reexpansion pulmonary oedema,,
thoracocentesis,C0189477,Thoracentesis,,
pre - existing,C2347662,Pre-existing,,
substantially,unnormalizable,unnormalizable,,
post - procedural,C5885899,Post-procedural,,
prior,C0332152,Before,,
bibasal,unnormalizable,unnormalizable,,
in size,C0541591,changes in size,,
Degree,unnormalizable,unnormalizable,,
lumbar,C0024090,Lumbar Region,,
Enlarging,C0442800,Enlarged,,
Perihilar,unnormalizable,unnormalizable,,
haziness,C0344232,Blurred vision,,
retracted 4.5 cm,unnormalizable,unnormalizable,,
pulled back about 5 cm,unnormalizable,unnormalizable,,
collapse,C0344329,Collapse (finding),,
Feeding,C2987508,Feeding activity,,
stylet,C0183663,"Stylet, device",,
superior cavoatrial junction,unnormalizable,unnormalizable,,
Subtle,unnormalizable,unnormalizable,,
minor,unnormalizable,unnormalizable,,
internal jugular central venous,C0398279,Central venous cannula insertion via internal jugular vein,,
associated exudate,unnormalizable,unnormalizable,,
reasonably,unnormalizable,unnormalizable,,
fluid level,C0740844,air fluid level (finding),,
Cephalization,unnormalizable,unnormalizable,,
Comminuted,C0476171,"Fractures, Comminuted",,
setting of splinting,unnormalizable,unnormalizable,,
Partially imaged,unnormalizable,unnormalizable,,
fusion,C1293131,Fusion procedure,,
hardware,C1880159,Computer Hardware Device,,
subsegmental,unnormalizable,unnormalizable,,
Displaced,C0012727,Spatial Displacement,,
similar compared to the previous exams,unnormalizable,unnormalizable,,
especially,unnormalizable,unnormalizable,,
fixation,unnormalizable,unnormalizable,,
3 cm above,unnormalizable,unnormalizable,,
transesophageal,C0522518,Transesophageal approach,,
developing,unnormalizable,unnormalizable,,
Developing,unnormalizable,unnormalizable,,
Support,unnormalizable,unnormalizable,,
in,unnormalizable,unnormalizable,,
noncardiogenic,C3241936,Non-cardiogenic pulmonary edema,,
sparing,unnormalizable,unnormalizable,,
periphery,unnormalizable,unnormalizable,,
significantly,unnormalizable,unnormalizable,,
Findings,C2607943,findings aspects,,
stably,unnormalizable,unnormalizable,,
predominantly,unnormalizable,unnormalizable,,
plate - like,unnormalizable,unnormalizable,,
bones,C0262950,Skeletal bone,,
platelike,C2021377,x-ray of chest: platelike atelectasis,,
a,unnormalizable,unnormalizable,,
Plate - like,unnormalizable,unnormalizable,,
extubated,C0553891,Tracheal Extubation,,
1,unnormalizable,unnormalizable,,
mucous,C0026727,Mucus (substance),,
plug,unnormalizable,unnormalizable,,
lying,C2584317,Lying down,,
approximately 2.3 cm,unnormalizable,unnormalizable,,
2,C0205448,Two,,
3.5 cm above,unnormalizable,unnormalizable,,
ARDS,C0035222,"Respiratory Distress Syndrome, Adult",,
air bronchograms,C3669021,Air bronchogram on radiograph (finding),,
4.7 cm above,unnormalizable,unnormalizable,,
curled,unnormalizable,unnormalizable,,
catheters,C0085590,catheter device,,
satisfactory,C1547307,Satisfactory - Patient Condition Code,,
2.8 cm above,unnormalizable,unnormalizable,,
small - to - moderate,unnormalizable,unnormalizable,,
haze,unnormalizable,unnormalizable,,
Moderate - to - severe,C1299393,Moderate to severe,,
moderate - to - severe,C1299393,Moderate to severe,,
Indistinct,unnormalizable,unnormalizable,,
segment,C0441635,Anatomical segmentation,,
Widened,C0332464,Widening,,
out of view,unnormalizable,unnormalizable,,
denser,unnormalizable,unnormalizable,,
ground - glass,C4697773,Ground glass,,
withdrawn 1 cm,unnormalizable,unnormalizable,,
2.9 cm above,unnormalizable,unnormalizable,,
coiled,unnormalizable,unnormalizable,,
3.4 cm,unnormalizable,unnormalizable,,
adenopathy,C0497156,Lymphadenopathy,,
Expected,C1517001,Expected (qualifier),,
Little,C0023882,Little's Disease,,
extubation,C0553891,Tracheal Extubation,,
NGT,C0085678,Nasogastric tube,,
removal,C1883720,Removing (action),,
bronchograms,C0006282,Contrast bronchogram,,
obliterating,C0700134,obliterated,,
3.6 cm above,unnormalizable,unnormalizable,,
out of the field of view,unnormalizable,unnormalizable,,
Enlargement,C2711450,Enlargement (morphologic abnormality),,
AP technique,unnormalizable,unnormalizable,,
cardiomegally,C0007226,Cardiomegaly,,
right side,C0205090,Right,,
inlet,unnormalizable,unnormalizable,,
secretions,C0036537,Bodily secretions,,
pacer,unnormalizable,unnormalizable,,
not well evaluated,unnormalizable,unnormalizable,,
cage,C0337189,"Cage, device",,
gas,C0017110,Gases,,
under,C0542339,Inferior,,
subdiaphragmatic,C0230210,Subdiaphragmatic region,,
approximately,C0332232,Approximate,,
13 mm,unnormalizable,unnormalizable,,
hyperlucent,unnormalizable,unnormalizable,,
Fully,unnormalizable,unnormalizable,,
underpenetration,unnormalizable,unnormalizable,,
Worsening,C0332271,Worsening (qualifier value),,
supine,C0038846,Supine Position,,
great,C1704243,Greater,,
vessel,unnormalizable,unnormalizable,,
6 cm above,unnormalizable,unnormalizable,,
coursing,C0750729,Course,,
inferiorly,unnormalizable,unnormalizable,,
expected,C1517001,Expected (qualifier),,
widened,C0332464,Widening,,
positioned,unnormalizable,unnormalizable,,
7 cm,unnormalizable,unnormalizable,,
fat,C0001527,Adipose tissue,,
type,C0332307,Type - attribute,,
juxta,unnormalizable,unnormalizable,,
nasoenteric,C3204183,Nasoenteral tube,,
GE junction,unnormalizable,unnormalizable,,
semiupright,unnormalizable,unnormalizable,,
projection,unnormalizable,unnormalizable,,
Its,unnormalizable,unnormalizable,,
gastric,C1704242,Gastric (qualifier value),,
drainage,C0013103,Drainage procedure,,
quite,unnormalizable,unnormalizable,,
milder,unnormalizable,unnormalizable,,
AICD,C0972395,Automatic Implantable Cardioverter-Defibrillators,,
single,C0205171,Singular,,
Indistinctness,unnormalizable,unnormalizable,,
procedure,C2700391,Procedure (set of actions),,
resection,C0728940,Excision,,
nodular,C0205297,Nodular (qualifier value),,
suture,C1705834,Suture Device,,
Remainder,unnormalizable,unnormalizable,,
chain,unnormalizable,unnormalizable,,
sutures,C0038969,Surgical sutures,,
Free,C0332296,Free of (attribute),,
underneath,unnormalizable,unnormalizable,,
projectional,unnormalizable,unnormalizable,,
ill,C0231218,Malaise,,
Chain,unnormalizable,unnormalizable,,
Rounded,C0332490,Round shape,,
discrete,C0443299,Separate,,
suprahilar,C0934260,Suprahilar part of mediastinal pleura,,
consolidative,C0702116,Consolidation,,
longstanding,unnormalizable,unnormalizable,,
micronodules,C0431693,Micronodule,,
thoracolumbar junction,C1508706,Spine Thoracolumbar Junction,,
Opacity,C1265876,Abnormally opaque structure (morphologic abnormality),,
not appreciably changed,unnormalizable,unnormalizable,,
bulging,C0333056,protrusion,,
Band - like,unnormalizable,unnormalizable,,
Post - surgical,unnormalizable,unnormalizable,,
Nodular,C0205297,Nodular (qualifier value),,
wedge resection,C0184909,Wedge resection - action,,
Subcentimeter,unnormalizable,unnormalizable,,
it,unnormalizable,unnormalizable,,
amorphous,unnormalizable,unnormalizable,,
Suture,unnormalizable,unnormalizable,,
sarcoid,C0036202,Sarcoidosis,,
flair,C2826145,Fluid Attenuated Inversion Recovery,,
compartment,C1185625,Anatomical compartments,,
Tiny,unnormalizable,unnormalizable,,
high - positioned,unnormalizable,unnormalizable,,
plate,unnormalizable,unnormalizable,,
sinuses,C0030471,Nasal sinus,,
borders,unnormalizable,unnormalizable,,
overlie,unnormalizable,unnormalizable,,
posteroinferior,unnormalizable,unnormalizable,,
Substantial,unnormalizable,unnormalizable,,
Vertebral,C0037949,Vertebral column,,
Tubes,unnormalizable,unnormalizable,,
fine,unnormalizable,unnormalizable,,
layered,C0934502,anatomical layer,,
hazinness,unnormalizable,unnormalizable,,
Layered,C0934502,anatomical layer,,
8 cm above,unnormalizable,unnormalizable,,
nondisplaced,unnormalizable,unnormalizable,,
dorsolateral part,unnormalizable,unnormalizable,,
masses,C1265602,Multiple masses,,
Asymmetric,C0332514,Asymmetry (qualifier value),,
Pre,unnormalizable,unnormalizable,,
manifestation,C1280464,Manifestation of,,
S - shaped,unnormalizable,unnormalizable,,
silhouetting,unnormalizable,unnormalizable,,
decompensating,C0205434,Decompensated,,
cardiogenic,unnormalizable,unnormalizable,,
Scoliosis,C0036439,"Scoliosis, unspecified",,
SUBSTANTIAL,unnormalizable,unnormalizable,,
ENLARGEMENT,C2711450,Enlargement (morphologic abnormality),,
CONTINUED,unnormalizable,unnormalizable,,
PULMONARY,C0024109,Lung,,
EDEMA,C0013604,Edema,,
BILATERAL,C0238767,Bilateral,,
PLEURAL,C1522720,Pleural,,
EFFUSIONS,C0013687,effusion,,
COMPRESSIVE,unnormalizable,unnormalizable,,
BASILAR,C1184146,Basilar,,
ATELECTASIS,C0004144,Atelectasis,,
significant interval,unnormalizable,unnormalizable,,
Hazy,unnormalizable,unnormalizable,,
Increasing,C0442808,Increasing (qualifier value),,
improving,C1272745,Improving (qualifier value),,
peripherally,unnormalizable,unnormalizable,,
inserted,C0441587,Clinical act of insertion,,
kyphotic,C0264190,Kyphotic pelvis,,
curvature,C0333063,Abnormal curvature,,
Hyperinflation,C1167782,Lung hyperinflation,,
Layering,C0934502,anatomical layer,,
bigger,C1704243,Greater,,
2.3 cm above the carina,unnormalizable,unnormalizable,,
Dobbhoff,unnormalizable,unnormalizable,,
bowel,C0021853,Intestines,,
PIC,unnormalizable,unnormalizable,,
brachiocephalic,unnormalizable,unnormalizable,,
pigtail,C0879203,Pigtail Catheters,,
4.6 cm above,unnormalizable,unnormalizable,,
air space,unnormalizable,unnormalizable,,
pronounced,unnormalizable,unnormalizable,,
continued,C0549178,Continuous,,
supervening,unnormalizable,unnormalizable,,
Superiorly,unnormalizable,unnormalizable,,
pleural - based,unnormalizable,unnormalizable,,
sided,unnormalizable,unnormalizable,,
approximately 5 cm,unnormalizable,unnormalizable,,
5.6 cm,unnormalizable,unnormalizable,,
above,unnormalizable,unnormalizable,,
ports,C1608324,Vascular Access Ports,,
1.8 cm above,unnormalizable,unnormalizable,,
sidehole,unnormalizable,unnormalizable,,
costal,C0035561,Bone structure of rib,,
heavily,unnormalizable,unnormalizable,,
mid - to - distal,unnormalizable,unnormalizable,,
